Date and Time:                Thu May 8 16:47:45.882 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): -82,492
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	1423
285,25876	1407
285,76248	1400
286,26624	1417
286,77002	1416
287,2738	1436
287,77762	1407
288,28146	1415
288,78531	1404
289,28922	1401
289,79312	1424
290,29706	1408
290,80103	1425
291,30502	1412
291,80902	1416
292,31308	1413
292,81714	1430
293,32123	1435
293,82532	1421
294,32947	1425
294,83362	1415
295,3378	1427
295,84201	1427
296,34625	1415
296,85049	1420
297,35477	1425
297,85907	1428
298,3634	1423
298,86777	1408
299,37213	1416
299,87656	1431
300,38098	1416
300,88541	1427
301,38989	1425
301,89441	1419
302,39893	1422
302,90347	1430
303,40805	1415
303,91263	1424
304,41727	1439
304,92191	1439
305,42657	1439
305,93127	1420
306,43597	1426
306,94073	1421
307,4455	1436
307,95029	1425
308,45511	1445
308,95993	1424
309,46481	1437
309,9697	1430
310,47461	1420
310,97955	1451
311,4845	1429
311,9895	1429
312,49451	1425
312,99954	1433
313,50461	1429
314,00967	1427
314,5148	1449
315,01993	1432
315,52509	1439
316,03027	1433
316,53546	1446
317,04071	1439
317,54596	1433
318,05124	1425
318,55655	1420
319,06186	1453
319,56723	1439
320,0726	1446
320,578	1437
321,08344	1436
321,58887	1449
322,09433	1444
322,59985	1432
323,10538	1434
323,6109	1447
324,11649	1431
324,62207	1453
325,12769	1450
325,63333	1450
326,13901	1458
326,64471	1458
327,15042	1475
327,65616	1444
328,16193	1444
328,66772	1480
329,17352	1440
329,67938	1461
330,18524	1437
330,69113	1441
331,19702	1453
331,70297	1456
332,20892	1466
332,7149	1441
333,22092	1468
333,72696	1457
334,233	1467
334,73911	1471
335,24521	1462
335,75134	1456
336,25748	1446
336,76367	1456
337,26987	1463
337,77609	1446
338,28235	1449
338,78864	1466
339,29492	1438
339,80127	1471
340,30762	1484
340,814	1457
341,32037	1456
341,82681	1455
342,33325	1475
342,83972	1484
343,34622	1455
343,85275	1481
344,35928	1472
344,86584	1465
345,37247	1476
345,87906	1476
346,38571	1464
346,89236	1463
347,39908	1486
347,90579	1479
348,41254	1469
348,91928	1461
349,42609	1478
349,93289	1467
350,43973	1467
350,94659	1500
351,45349	1489
351,96039	1472
352,46732	1484
352,97427	1491
353,48126	1481
353,98828	1485
354,4953	1507
355,00235	1484
355,50943	1489
356,01654	1479
356,52368	1486
357,03082	1488
357,53799	1492
358,0452	1497
358,55243	1494
359,05969	1482
359,56696	1495
360,07428	1494
360,5816	1509
361,08893	1503
361,59631	1512
362,1037	1506
362,61115	1483
363,11859	1508
363,62604	1474
364,13354	1504
364,64105	1511
365,14859	1499
365,65616	1526
366,16376	1532
366,67139	1508
367,17902	1524
367,68668	1505
368,19437	1516
368,70209	1515
369,20984	1532
369,71759	1515
370,22537	1527
370,73318	1517
371,24103	1514
371,7489	1523
372,25677	1522
372,76468	1522
373,27261	1522
373,78058	1522
374,28854	1523
374,79657	1550
375,3046	1516
375,81265	1531
376,32071	1535
376,82883	1520
377,33694	1533
377,84509	1525
378,35327	1552
378,86148	1530
379,36972	1527
379,87796	1557
380,38623	1547
380,89453	1549
381,40286	1538
381,91119	1536
382,41959	1571
382,92798	1556
383,4364	1555
383,94482	1531
384,45331	1562
384,96179	1565
385,47031	1564
385,97885	1566
386,48743	1555
386,996	1561
387,50464	1563
388,01328	1586
388,52194	1585
389,03061	1588
389,53934	1580
390,04807	1600
390,55682	1610
391,06561	1608
391,57443	1615
392,08325	1621
392,59213	1644
393,10101	1658
393,60989	1673
394,11884	1704
394,62781	1712
395,13678	1727
395,64578	1747
396,15482	1799
396,66385	1829
397,17294	1884
397,68204	1910
398,19116	1973
398,70032	2023
399,2095	2099
399,71869	2137
400,22791	2227
400,73715	2311
401,24643	2390
401,75574	2484
402,26505	2608
402,77441	2684
403,28378	2777
403,79318	2886
404,30258	2960
404,81204	3032
405,3215	3124
405,83099	3191
406,34052	3298
406,85004	3342
407,35962	3389
407,8692	3409
408,37881	3435
408,88846	3433
409,3981	3418
409,90781	3402
410,41751	3392
410,92725	3344
411,43701	3277
411,94678	3211
412,4566	3160
412,96643	3083
413,47629	3007
413,98618	2896
414,49606	2795
415,00601	2718
415,51596	2631
416,02594	2514
416,53595	2447
417,04596	2345
417,55603	2266
418,0661	2189
418,5762	2115
419,08633	2075
419,59647	2000
420,10663	1929
420,61685	1913
421,12708	1862
421,6373	1840
422,14758	1814
422,65787	1777
423,16818	1764
423,67853	1745
424,1889	1757
424,69931	1718
425,20972	1711
425,72015	1735
426,23062	1711
426,74112	1736
427,25162	1688
427,76218	1708
428,27274	1728
428,78333	1719
429,29395	1732
429,80457	1725
430,31522	1713
430,82593	1746
431,33661	1737
431,84735	1740
432,35812	1773
432,8689	1726
433,3797	1728
433,89053	1725
434,4014	1747
434,91226	1747
435,42319	1744
435,93411	1752
436,44507	1758
436,95602	1765
437,46704	1770
437,97806	1787
438,48911	1771
439,00018	1812
439,51129	1792
440,0224	1783
440,53357	1804
441,04474	1823
441,55594	1830
442,06714	1829
442,5784	1851
443,08966	1845
443,60095	1830
444,11227	1807
444,62363	1887
445,13498	1872
445,64636	1885
446,15778	1870
446,66922	1898
447,18069	1862
447,69217	1863
448,2037	1860
448,71524	1885
449,22681	1870
449,73837	1870
450,25	1906
450,76163	1870
451,27328	1887
451,78497	1909
452,29666	1833
452,80841	1882
453,32016	1890
453,83194	1917
454,34375	1879
454,85559	1929
455,36743	1904
455,8793	1903
456,3912	1932
456,90314	1902
457,4151	1871
457,92706	1897
458,43906	1891
458,95108	1895
459,46313	1878
459,97522	1880
460,4873	1890
460,99942	1908
461,51157	1948
462,02374	1908
462,53595	1893
463,04816	1889
463,56039	1862
464,07266	1903
464,58496	1926
465,09729	1896
465,60962	1898
466,12198	1894
466,63437	1924
467,14679	1929
467,65924	1896
468,17169	1925
468,68417	1885
469,19669	1894
469,70923	1910
470,2218	1919
470,73438	1890
471,24698	1882
471,75961	1902
472,27228	1880
472,78494	1912
473,29767	1906
473,81039	1876
474,32315	1910
474,83594	1909
475,34872	1907
475,86157	1893
476,37442	1933
476,8873	1896
477,40018	1900
477,91312	1908
478,42606	1909
478,93903	1919
479,45203	1911
479,96506	1906
480,47812	1916
480,99118	1938
481,50427	1926
482,0174	1913
482,53055	1939
483,0437	1886
483,55692	1914
484,07013	1925
484,58337	1880
485,09662	1939
485,60992	1914
486,12323	1919
486,63657	1908
487,14993	1936
487,66333	1922
488,17673	1923
488,69019	1947
489,20364	1936
489,71713	1942
490,23062	1940
490,74417	1928
491,25772	1949
491,7713	1957
492,28491	1935
492,79855	1913
493,31219	1950
493,82587	1932
494,3396	1943
494,8533	1929
495,36707	1928
495,88086	1959
496,39465	1974
496,90848	1959
497,42233	1960
497,93619	1977
498,4501	1955
498,96402	1967
499,47797	1974
499,99194	1922
500,50595	1952
501,01996	1982
501,534	1977
502,04807	1978
502,56216	1960
503,07629	1984
503,59042	1989
504,10461	1985
504,6188	1985
505,133	1970
505,64725	1976
506,1615	1964
506,67581	2024
507,19012	1987
507,70447	1960
508,21881	1966
508,73322	1989
509,24762	2012
509,76205	2000
510,27652	1986
510,79099	1997
511,30551	1996
511,82004	2020
512,33459	1969
512,84918	1973
513,36377	1990
513,87842	1976
514,39307	1995
514,90771	2029
515,42242	1995
515,93719	2009
516,4519	1987
516,96667	2010
517,48151	1964
517,99634	1995
518,51117	1980
519,02606	2030
519,54095	1983
520,05585	2011
520,5708	2041
521,08582	2039
521,60077	1996
522,11578	2036
522,63086	2008
523,14594	2029
523,66101	2060
524,17615	1991
524,69128	2001
525,20642	2028
525,72162	2012
526,23682	2048
526,75208	1994
527,26733	2055
527,78265	2063
528,29791	2058
528,81329	2048
529,32861	2055
529,84399	2046
530,35944	2042
530,87488	2033
531,39032	2045
531,90582	2021
532,42133	2029
532,93683	2071
533,45239	2038
533,96796	2021
534,48358	2069
534,99921	2006
535,51489	2024
536,03052	2092
536,54626	2113
537,06195	2046
537,5777	2073
538,09351	2030
538,60931	2048
539,12512	2085
539,64099	2063
540,15686	2072
540,67273	2076
541,18866	2072
541,70459	2100
542,22058	2059
542,73657	2103
543,25256	2096
543,76862	2109
544,28467	2066
544,80078	2125
545,31689	2098
545,83301	2067
546,34918	2056
546,86536	2102
547,38159	2080
547,89783	2077
548,41412	2122
548,93036	2114
549,44672	2073
549,96301	2104
550,47937	2062
550,99579	2139
551,51221	2098
552,02863	2109
552,54504	2072
553,06152	2077
553,57806	2094
554,0946	2078
554,61115	2089
555,12775	2123
555,64435	2131
556,16095	2099
556,67761	2121
557,19427	2124
557,711	2126
558,22772	2116
558,74445	2113
559,26123	2082
559,77802	2144
560,29486	2121
560,81171	2157
561,32855	2111
561,84546	2181
562,36237	2094
562,87933	2096
563,3963	2146
563,91327	2112
564,4303	2142
564,94733	2169
565,46442	2125
565,98151	2142
566,4986	2156
567,01575	2153
567,5329	2149
568,05011	2161
568,56732	2157
569,08453	2146
569,60181	2119
570,11908	2132
570,63641	2152
571,15375	2165
571,67108	2176
572,18848	2164
572,70587	2154
573,22333	2105
573,74078	2139
574,25824	2168
574,77576	2171
575,29327	2185
575,81079	2200
576,32837	2168
576,84601	2214
577,36365	2191
577,88129	2159
578,39893	2182
578,91663	2194
579,43439	2147
579,95209	2172
580,46991	2172
580,98767	2195
581,50549	2166
582,02332	2178
582,5412	2202
583,05908	2218
583,57703	2196
584,09497	2217
584,61292	2208
585,13092	2157
585,64893	2213
586,16699	2201
586,68506	2207
587,20313	2240
587,72125	2167
588,23938	2186
588,75757	2202
589,27576	2187
589,79395	2218
590,31219	2212
590,83044	2254
591,34869	2261
591,867	2175
592,38538	2269
592,90369	2243
593,42206	2242
593,94049	2294
594,45892	2251
594,97736	2243
595,49585	2226
596,01434	2205
596,5329	2267
597,05145	2262
597,57001	2283
598,08862	2239
598,60724	2297
599,12585	2233
599,64453	2289
600,16327	2222
600,68195	2273
601,20074	2248
601,71948	2318
602,23828	2250
602,75708	2250
603,27594	2268
603,7948	2255
604,31372	2285
604,83264	2351
605,35156	2251
605,87054	2321
606,38953	2233
606,90851	2286
607,42755	2318
607,94666	2282
608,4657	2299
608,9848	2329
609,50397	2333
610,02313	2315
610,5423	2270
611,06152	2337
611,58075	2361
612,09998	2353
612,61926	2322
613,13861	2299
613,6579	2306
614,17725	2371
614,69666	2320
615,21606	2322
615,73547	2316
616,25494	2345
616,77441	2330
617,29388	2358
617,81342	2302
618,33301	2310
618,85254	2351
619,37213	2309
619,89178	2341
620,41144	2340
620,93109	2344
621,45081	2385
621,97052	2394
622,49023	2344
623,01001	2371
623,52985	2329
624,04962	2405
624,56946	2339
625,08936	2347
625,60925	2354
626,12915	2331
626,64911	2357
627,16907	2353
627,68903	2348
628,20905	2344
628,72906	2327
629,24915	2404
629,76923	2374
630,28937	2374
630,80945	2346
631,32965	2373
631,84979	2382
632,37	2345
632,89026	2384
633,41052	2386
633,93079	2406
634,45111	2414
634,97144	2395
635,49176	2395
636,01215	2405
636,53253	2411
637,05298	2389
637,57343	2402
638,09387	2415
638,61438	2349
639,13495	2404
639,65546	2411
640,17603	2443
640,69666	2400
641,21729	2435
641,73792	2400
642,25861	2421
642,7793	2476
643,29999	2395
643,82074	2432
644,34149	2442
644,8623	2395
645,38312	2474
645,90393	2462
646,4248	2453
646,94568	2377
647,46661	2410
647,98755	2415
648,50848	2394
649,02948	2443
649,55048	2429
650,07153	2423
650,59259	2448
651,11371	2475
651,63477	2472
652,15594	2461
652,67706	2495
653,19824	2463
653,71948	2444
654,24072	2476
654,76196	2462
655,2832	2485
655,8045	2451
656,32587	2461
656,84723	2489
657,36859	2446
657,89001	2460
658,41144	2472
658,93286	2503
659,45435	2474
659,97583	2470
660,49738	2499
661,01892	2463
661,54047	2487
662,06207	2483
662,58368	2506
663,10535	2493
663,62701	2514
664,14868	2485
664,67041	2465
665,19214	2518
665,71393	2513
666,23572	2537
666,75751	2461
667,27936	2532
667,80121	2501
668,32312	2488
668,84503	2523
669,36694	2489
669,88892	2505
670,41089	2537
670,93292	2511
671,45496	2557
671,97699	2536
672,49908	2536
673,02118	2541
673,54333	2536
674,06549	2554
674,58765	2579
675,10986	2560
675,63208	2569
676,15436	2559
676,67664	2543
677,19891	2548
677,72125	2548
678,24359	2588
678,76593	2536
679,28833	2549
679,81079	2593
680,33325	2598
680,85571	2573
681,37817	2591
681,9007	2582
682,42328	2599
682,9458	2621
683,46844	2578
683,99103	2583
684,51367	2603
685,03632	2619
685,55902	2609
686,08173	2616
686,60449	2641
687,12726	2611
687,65002	2592
688,17285	2633
688,69568	2620
689,21857	2627
689,74146	2643
690,26434	2620
690,78729	2640
691,31024	2662
691,83325	2615
692,35626	2643
692,87927	2648
693,40234	2622
693,92542	2670
694,44849	2643
694,97162	2640
695,49481	2640
696,01794	2658
696,54114	2660
697,06439	2670
697,58765	2666
698,1109	2663
698,63422	2674
699,15753	2651
699,68091	2666
700,20428	2686
700,72766	2672
701,2511	2702
701,77454	2675
702,29797	2700
702,82147	2711
703,34503	2683
703,86853	2697
704,39215	2693
704,91571	2721
705,43933	2696
705,96295	2710
706,48663	2692
707,01031	2710
707,53406	2739
708,0578	2716
708,58154	2737
709,10535	2714
709,62915	2726
710,15295	2704
710,67682	2718
711,20074	2709
711,72461	2735
712,24854	2721
712,77252	2696
713,29651	2735
713,8205	2765
714,34454	2734
714,86859	2743
715,39264	2745
715,91675	2745
716,44092	2745
716,96503	2733
717,4892	2752
718,01343	2774
718,53766	2760
719,06189	2749
719,58618	2751
720,11047	2761
720,63477	2771
721,15912	2741
721,68353	2773
722,20789	2737
722,7323	2760
723,25677	2765
723,78125	2772
724,30573	2774
724,83026	2794
725,3548	2801
725,87933	2767
726,40393	2797
726,92859	2800
727,45319	2788
727,97784	2792
728,50256	2788
729,02728	2777
729,552	2816
730,07678	2785
730,60156	2779
731,12634	2808
731,65118	2817
732,17603	2786
732,70093	2820
733,22583	2795
733,75079	2806
734,2757	2801
734,80072	2806
735,32568	2823
735,85071	2815
736,37579	2808
736,90088	2811
737,42596	2831
737,95111	2840
738,47626	2864
739,0014	2858
739,52661	2842
740,05182	2841
740,57709	2844
741,10236	2827
741,62769	2843
742,15295	2863
742,67834	2877
743,20367	2858
743,72906	2879
744,25452	2878
744,77997	2865
745,30542	2850
745,83093	2893
746,35645	2891
746,88196	2884
747,40753	2861
747,93311	2866
748,45874	2904
748,98438	2912
749,51001	2913
750,03571	2910
750,5614	2910
751,08716	2894
751,61292	2876
752,13867	2922
