Date and Time:                Thu May 8 17:47:50.947 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): -82,492
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	25
285,25876	30
285,76248	29
286,26624	33
286,77002	30
287,2738	31
287,77762	27
288,28146	25
288,78531	25
289,28922	26
289,79312	29
290,29706	22
290,80103	29
291,30502	19
291,80902	25
292,31308	23
292,81714	22
293,32123	32
293,82532	23
294,32947	26
294,83362	29
295,3378	31
295,84201	25
296,34625	26
296,85049	27
297,35477	28
297,85907	23
298,3634	20
298,86777	31
299,37213	23
299,87656	30
300,38098	27
300,88541	23
301,38989	30
301,89441	28
302,39893	30
302,90347	27
303,40805	36
303,91263	24
304,41727	34
304,92191	24
305,42657	24
305,93127	24
306,43597	26
306,94073	32
307,4455	29
307,95029	18
308,45511	35
308,95993	27
309,46481	31
309,9697	22
310,47461	22
310,97955	29
311,4845	24
311,9895	31
312,49451	30
312,99954	26
313,50461	16
314,00967	22
314,5148	21
315,01993	34
315,52509	26
316,03027	21
316,53546	27
317,04071	26
317,54596	25
318,05124	37
318,55655	22
319,06186	32
319,56723	34
320,0726	35
320,578	26
321,08344	19
321,58887	24
322,09433	23
322,59985	25
323,10538	27
323,6109	27
324,11649	27
324,62207	27
325,12769	30
325,63333	28
326,13901	23
326,64471	21
327,15042	33
327,65616	24
328,16193	26
328,66772	28
329,17352	27
329,67938	24
330,18524	31
330,69113	32
331,19702	20
331,70297	26
332,20892	28
332,7149	24
333,22092	28
333,72696	22
334,233	26
334,73911	31
335,24521	25
335,75134	23
336,25748	25
336,76367	25
337,26987	27
337,77609	33
338,28235	20
338,78864	28
339,29492	27
339,80127	27
340,30762	24
340,814	30
341,32037	29
341,82681	29
342,33325	27
342,83972	28
343,34622	29
343,85275	22
344,35928	26
344,86584	20
345,37247	24
345,87906	23
346,38571	22
346,89236	29
347,39908	22
347,90579	31
348,41254	28
348,91928	26
349,42609	19
349,93289	30
350,43973	34
350,94659	33
351,45349	32
351,96039	21
352,46732	22
352,97427	38
353,48126	27
353,98828	24
354,4953	18
355,00235	36
355,50943	28
356,01654	33
356,52368	27
357,03082	17
357,53799	24
358,0452	20
358,55243	29
359,05969	36
359,56696	25
360,07428	27
360,5816	24
361,08893	24
361,59631	29
362,1037	32
362,61115	27
363,11859	32
363,62604	31
364,13354	25
364,64105	26
365,14859	28
365,65616	32
366,16376	26
366,67139	28
367,17902	27
367,68668	33
368,19437	32
368,70209	27
369,20984	18
369,71759	29
370,22537	29
370,73318	30
371,24103	20
371,7489	27
372,25677	25
372,76468	30
373,27261	24
373,78058	32
374,28854	32
374,79657	27
375,3046	29
375,81265	18
376,32071	25
376,82883	35
377,33694	29
377,84509	34
378,35327	29
378,86148	24
379,36972	30
379,87796	32
380,38623	27
380,89453	20
381,40286	21
381,91119	24
382,41959	31
382,92798	27
383,4364	28
383,94482	28
384,45331	29
384,96179	23
385,47031	30
385,97885	31
386,48743	27
386,996	23
387,50464	31
388,01328	25
388,52194	30
389,03061	34
389,53934	25
390,04807	27
390,55682	25
391,06561	29
391,57443	30
392,08325	31
392,59213	33
393,10101	31
393,60989	35
394,11884	34
394,62781	26
395,13678	27
395,64578	35
396,15482	27
396,66385	28
397,17294	30
397,68204	28
398,19116	29
398,70032	22
399,2095	33
399,71869	38
400,22791	32
400,73715	30
401,24643	35
401,75574	31
402,26505	26
402,77441	32
403,28378	20
403,79318	39
404,30258	38
404,81204	31
405,3215	34
405,83099	36
406,34052	33
406,85004	38
407,35962	39
407,8692	43
408,37881	41
408,88846	38
409,3981	42
409,90781	46
410,41751	47
410,92725	36
411,43701	42
411,94678	45
412,4566	48
412,96643	39
413,47629	37
413,98618	40
414,49606	28
415,00601	37
415,51596	35
416,02594	34
416,53595	41
417,04596	26
417,55603	39
418,0661	23
418,5762	34
419,08633	31
419,59647	25
420,10663	30
420,61685	27
421,12708	32
421,6373	33
422,14758	30
422,65787	27
423,16818	27
423,67853	32
424,1889	24
424,69931	22
425,20972	24
425,72015	32
426,23062	28
426,74112	21
427,25162	31
427,76218	34
428,27274	31
428,78333	25
429,29395	30
429,80457	30
430,31522	26
430,82593	19
431,33661	36
431,84735	25
432,35812	28
432,8689	35
433,3797	27
433,89053	17
434,4014	20
434,91226	29
435,42319	22
435,93411	18
436,44507	34
436,95602	24
437,46704	36
437,97806	18
438,48911	19
439,00018	26
439,51129	14
440,0224	24
440,53357	25
441,04474	19
441,55594	16
442,06714	16
442,5784	24
443,08966	3
443,60095	8
444,11227	26
444,62363	12
445,13498	0
445,64636	12
446,15778	20
446,66922	22
447,18069	43
447,69217	15
448,2037	8
448,71524	22
449,22681	16
449,73837	21
450,25	-3
450,76163	23
451,27328	14
451,78497	33
452,29666	24
452,80841	26
453,32016	13
453,83194	29
454,34375	37
454,85559	42
455,36743	20
455,8793	20
456,3912	8
456,90314	17
457,4151	23
457,92706	3
458,43906	12
458,95108	27
459,46313	22
459,97522	19
460,4873	20
460,99942	19
461,51157	13
462,02374	17
462,53595	2
463,04816	28
463,56039	16
464,07266	22
464,58496	33
465,09729	25
465,60962	19
466,12198	20
466,63437	31
467,14679	34
467,65924	-2
468,17169	38
468,68417	14
469,19669	22
469,70923	37
470,2218	13
470,73438	14
471,24698	26
471,75961	27
472,27228	32
472,78494	38
473,29767	20
473,81039	17
474,32315	21
474,83594	23
475,34872	18
475,86157	22
476,37442	25
476,8873	43
477,40018	32
477,91312	34
478,42606	16
478,93903	21
479,45203	25
479,96506	25
480,47812	24
480,99118	32
481,50427	23
482,0174	19
482,53055	42
483,0437	28
483,55692	29
484,07013	24
484,58337	26
485,09662	27
485,60992	28
486,12323	34
486,63657	32
487,14993	29
487,66333	31
488,17673	40
488,69019	30
489,20364	29
489,71713	25
490,23062	29
490,74417	27
491,25772	48
491,7713	32
492,28491	40
492,79855	37
493,31219	37
493,82587	32
494,3396	36
494,8533	21
495,36707	46
495,88086	26
496,39465	41
496,90848	41
497,42233	26
497,93619	33
498,4501	27
498,96402	30
499,47797	30
499,99194	44
500,50595	33
501,01996	39
501,534	34
502,04807	25
502,56216	47
503,07629	48
503,59042	30
504,10461	21
504,6188	14
505,133	43
505,64725	19
506,1615	34
506,67581	43
507,19012	28
507,70447	14
508,21881	23
508,73322	28
509,24762	51
509,76205	33
510,27652	29
510,79099	24
511,30551	33
511,82004	38
512,33459	32
512,84918	49
513,36377	38
513,87842	38
514,39307	30
514,90771	11
515,42242	30
515,93719	55
516,4519	38
516,96667	30
517,48151	60
517,99634	32
518,51117	42
519,02606	36
519,54095	40
520,05585	35
520,5708	16
521,08582	37
521,60077	42
522,11578	56
522,63086	26
523,14594	19
523,66101	21
524,17615	54
524,69128	30
525,20642	44
525,72162	35
526,23682	40
526,75208	19
527,26733	34
527,78265	46
528,29791	58
528,81329	45
529,32861	42
529,84399	32
530,35944	24
530,87488	38
531,39032	36
531,90582	11
532,42133	40
532,93683	51
533,45239	28
533,96796	31
534,48358	4
534,99921	21
535,51489	44
536,03052	41
536,54626	43
537,06195	11
537,5777	21
538,09351	10
538,60931	49
539,12512	45
539,64099	25
540,15686	32
540,67273	33
541,18866	40
541,70459	27
542,22058	42
542,73657	25
543,25256	19
543,76862	38
544,28467	42
544,80078	39
545,31689	36
545,83301	28
546,34918	37
546,86536	40
547,38159	57
547,89783	49
548,41412	12
548,93036	38
549,44672	25
549,96301	34
550,47937	31
550,99579	36
551,51221	38
552,02863	44
552,54504	61
553,06152	18
553,57806	43
554,0946	26
554,61115	34
555,12775	50
555,64435	45
556,16095	67
556,67761	28
557,19427	43
557,711	39
558,22772	52
558,74445	47
559,26123	44
559,77802	40
560,29486	30
560,81171	18
561,32855	57
561,84546	32
562,36237	55
562,87933	40
563,3963	35
563,91327	60
564,4303	54
564,94733	27
565,46442	70
565,98151	88
566,4986	59
567,01575	41
567,5329	71
568,05011	73
568,56732	96
569,08453	88
569,60181	95
570,11908	106
570,63641	83
571,15375	93
571,67108	88
572,18848	119
572,70587	133
573,22333	130
573,74078	94
574,25824	116
574,77576	127
575,29327	129
575,81079	111
576,32837	122
576,84601	145
577,36365	141
577,88129	131
578,39893	138
578,91663	163
579,43439	175
579,95209	156
580,46991	179
580,98767	170
581,50549	171
582,02332	206
582,5412	196
583,05908	185
583,57703	194
584,09497	197
584,61292	209
585,13092	222
585,64893	227
586,16699	276
586,68506	277
587,20313	259
587,72125	276
588,23938	274
588,75757	281
589,27576	320
589,79395	326
590,31219	346
590,83044	401
591,34869	439
591,867	478
592,38538	551
592,90369	554
593,42206	592
593,94049	657
594,45892	711
594,97736	789
595,49585	904
596,01434	1015
596,5329	1155
597,05145	1215
597,57001	1279
598,08862	1292
598,60724	1287
599,12585	1246
599,64453	1228
600,16327	1199
600,68195	1220
601,20074	1199
601,71948	1233
602,23828	1272
602,75708	1283
603,27594	1328
603,7948	1387
604,31372	1386
604,83264	1452
605,35156	1473
605,87054	1500
606,38953	1548
606,90851	1567
607,42755	1562
607,94666	1516
608,4657	1518
608,9848	1511
609,50397	1520
610,02313	1448
610,5423	1387
611,06152	1346
611,58075	1230
612,09998	1170
612,61926	1171
613,13861	1056
613,6579	1033
614,17725	976
614,69666	950
615,21606	890
615,73547	849
616,25494	820
616,77441	764
617,29388	712
617,81342	704
618,33301	629
618,85254	621
619,37213	557
619,89178	541
620,41144	459
620,93109	415
621,45081	371
621,97052	351
622,49023	338
623,01001	272
623,52985	260
624,04962	256
624,56946	249
625,08936	251
625,60925	213
626,12915	225
626,64911	193
627,16907	180
627,68903	166
628,20905	134
628,72906	147
629,24915	131
629,76923	124
630,28937	91
630,80945	93
631,32965	99
631,84979	92
632,37	69
632,89026	77
633,41052	58
633,93079	80
634,45111	32
634,97144	79
635,49176	71
636,01215	62
636,53253	45
637,05298	59
637,57343	52
638,09387	59
638,61438	46
639,13495	38
639,65546	50
640,17603	49
640,69666	69
641,21729	33
641,73792	78
642,25861	76
642,7793	49
643,29999	34
643,82074	58
644,34149	55
644,8623	63
645,38312	59
645,90393	51
646,4248	31
646,94568	66
647,46661	62
647,98755	48
648,50848	64
649,02948	66
649,55048	45
650,07153	64
650,59259	51
651,11371	67
651,63477	54
652,15594	48
652,67706	57
653,19824	59
653,71948	58
654,24072	37
654,76196	59
655,2832	50
655,8045	66
656,32587	47
656,84723	34
657,36859	55
657,89001	49
658,41144	57
658,93286	59
659,45435	52
659,97583	47
660,49738	62
661,01892	42
661,54047	60
662,06207	51
662,58368	47
663,10535	47
663,62701	55
664,14868	30
664,67041	49
665,19214	57
665,71393	60
666,23572	44
666,75751	38
667,27936	51
667,80121	44
668,32312	65
668,84503	62
669,36694	39
669,88892	65
670,41089	40
670,93292	52
671,45496	44
671,97699	43
672,49908	37
673,02118	46
673,54333	65
674,06549	38
674,58765	53
675,10986	43
675,63208	51
676,15436	38
676,67664	57
677,19891	57
677,72125	50
678,24359	43
678,76593	45
679,28833	69
679,81079	38
680,33325	49
680,85571	38
681,37817	43
681,9007	52
682,42328	49
682,9458	40
683,46844	54
683,99103	40
684,51367	54
685,03632	52
685,55902	49
686,08173	48
686,60449	32
687,12726	51
687,65002	47
688,17285	33
688,69568	43
689,21857	53
689,74146	59
690,26434	39
690,78729	40
691,31024	42
691,83325	50
692,35626	42
692,87927	41
693,40234	52
693,92542	40
694,44849	47
694,97162	42
695,49481	41
696,01794	50
696,54114	29
697,06439	64
697,58765	43
698,1109	47
698,63422	54
699,15753	53
699,68091	45
700,20428	56
700,72766	43
701,2511	48
701,77454	37
702,29797	52
702,82147	64
703,34503	43
703,86853	40
704,39215	54
704,91571	41
705,43933	40
705,96295	64
706,48663	36
707,01031	58
707,53406	52
708,0578	44
708,58154	43
709,10535	55
709,62915	38
710,15295	52
710,67682	39
711,20074	47
711,72461	48
712,24854	41
712,77252	55
713,29651	44
713,8205	51
714,34454	42
714,86859	55
715,39264	53
715,91675	37
716,44092	48
716,96503	53
717,4892	46
718,01343	43
718,53766	51
719,06189	46
719,58618	46
720,11047	53
720,63477	38
721,15912	51
721,68353	42
722,20789	48
722,7323	47
723,25677	47
723,78125	46
724,30573	60
724,83026	46
725,3548	46
725,87933	51
726,40393	40
726,92859	50
727,45319	53
727,97784	47
728,50256	51
729,02728	56
729,552	45
730,07678	49
730,60156	52
731,12634	48
731,65118	49
732,17603	36
732,70093	47
733,22583	49
733,75079	50
734,2757	46
734,80072	49
735,32568	56
735,85071	49
736,37579	33
736,90088	44
737,42596	54
737,95111	54
738,47626	58
739,0014	46
739,52661	44
740,05182	54
740,57709	54
741,10236	51
741,62769	46
742,15295	56
742,67834	53
743,20367	48
743,72906	53
744,25452	54
744,77997	44
745,30542	43
745,83093	44
746,35645	48
746,88196	50
747,40753	56
747,93311	40
748,45874	43
748,98438	49
749,51001	48
750,03571	51
750,5614	48
751,08716	52
751,61292	49
752,13867	56
752,66449	49
753,19037	51
753,71619	49
754,24207	53
754,76801	51
755,29388	54
755,81989	45
756,34583	47
756,87183	55
757,39789	53
757,92395	50
758,45001	51
758,97607	53
759,5022	57
760,02838	40
760,55457	57
761,08075	46
761,60699	55
762,13324	54
762,65948	56
763,18579	52
763,7121	57
764,23846	49
764,76483	56
765,2912	52
765,81763	51
766,34406	54
766,87054	53
767,39703	52
767,92352	56
768,45007	52
768,97662	58
769,50323	47
770,02985	51
770,55646	49
771,08313	59
771,6098	59
772,13654	59
772,66327	53
773,19	54
773,7168	51
774,24359	54
774,77045	53
775,2973	76
775,82416	56
776,35107	55
776,87799	59
777,40497	64
777,93195	68
778,45892	60
778,98596	51
779,513	54
780,0401	50
780,5672	62
781,0943	55
781,62146	57
782,14862	72
782,67578	49
783,203	58
783,73029	67
784,25757	59
784,78485	71
785,31213	72
785,83948	59
786,36688	51
786,89423	56
787,42169	60
787,9491	64
788,47656	77
789,00409	93
789,53156	69
790,05908	83
790,58667	83
791,11426	87
791,64185	53
792,16949	79
792,69714	62
793,22485	85
793,75256	77
794,28027	52
794,80804	68
795,33582	70
795,86365	93
796,39148	87
796,91931	88
797,4472	100
797,9751	106
798,50299	120
799,03094	101
799,55896	51
800,08691	111
800,61499	58
801,14301	112
801,67108	56
802,19916	59
802,72729	69
803,25543	60
803,78363	88
804,31183	103
804,84003	61
805,36829	90
805,89655	108
806,4248	104
806,95313	88
807,48151	83
808,00983	96
808,53827	78
809,06665	60
809,59509	99
810,12354	54
810,65204	47
811,18054	97
811,70911	75
812,23767	100
812,76624	57
813,29486	63
813,82349	73
814,35211	91
814,8808	67
815,40955	76
815,93823	73
816,46698	87
816,99579	38
817,5246	79
818,05341	67
