Temp / Kelvin	Zeit / min	Zeitdifferenz / min	Kelvinänderung in K	K pro min	Kommentar
288	-50	0	0	0	
283	-44	6	-5	-0.833333333	
280	-36.25	7.75	-3	-0.387096774	
274	-27.25	9	-6	-0.666666667	
269	-20.5	6.75	-5	-0.740740741	
268.3	-14	6.5	-0.7	-0.107692308	
269.7	0	14	1.4	0.1	
270	1	1	0.3	0.3	260 eingestellt
262.2	11	10	-7.8	-0.78	280uW
260.7	23	12	-1.5	-0.125	
259.8	32	9	-0.9	-0.1	
259.5	43.5	11.5	-0.3	-0.026086957	240 eingestellt
258.6	45.25	1.75	-0.9	-0.514285714	heliumfluss erhöht auf 0.7L/min
256.5	46.75	1.5	-2.1	-1.4	
255	47.333	0.583	-1.5	-2.572898799	
251.5	49	1.667	-3.5	-2.099580084	
249.1	50	1	-2.4	-2.4	
246	51.66667	1.66667	-3.1	-1.85999628	
241	54.75	3.08333	-5	-1.621623375	
239.2	56	1.25	-1.8	-1.44	
237.6	58	2	-1.6	-0.8	
236.9	59.75	1.75	-0.7	-0.4	
236.6	62	2.25	-0.3	-0.133333333	
236.9	64	2	0.3	0.15	
237.3	65.6666	1.6666	0.4	0.2400096	
237.7	67	1.3334	0.4	0.299985001	
238.6	70.5	3.5	0.9	0.257142857	
239	72.75	2.25	0.4	0.177777778	
239.5	76	3.25	0.5	0.153846154	
239.8	81	5	0.3	0.06	
239.9	84	3	0.1	0.033333333	
240	86.3333	2.3333	0.1	0.042857755	
239.9	100	13.6667	-0.1	-0.007317055	SHG peak gefunden 85uW eingestellt
239.8	129	29	-0.1	-0.003448276	heliumfluss minimal. 250K eingestellt
241	131	2	1.2	0.6	
244.5	133	2	3.5	1.75	
246	134	1	1.5	1.5	
249	137.5	3.5	3	0.857142857	
249.9	138.66667	1.16667	0.9	0.771426367	
250.1	139	0.33333	0.2	0.600006	
251.5	143.6667	4.6667	1.4	0.299997857	
252.1	151	7.3333	0.6	0.081818554	255K einsgestellt
253.3	153	2	1.2	0.6	
254.5	155.6667	2.6667	1.2	0.449994375	
255	157	1.3333	0.5	0.375009375	
256	161	4	1	0.25	260K eingestellt
257	162	1	1	1	
258.8	164	2	1.8	0.9	
260	166.25	2.25	1.2	0.533333333	
261.1	174.5	8.25	1.1	0.133333333	
261	176	1.5	-0.1	-0.066666667	messen
260.6	182.5	6.5	-0.4	-0.061538462	265K eingestellt
261.2	183.75	1.25	0.6	0.48	
263.5	187	3.25	2.3	0.707692308	
264.9	190	3	1.4	0.466666667	
265.3	192	2	0.4	0.2	
266.4	196	4	1.1	0.275	270K eingestellt
267.3	197	1	0.9	0.9	
269.9	200.5	3.5	2.6	0.742857143	
276	211.333	10.833	6.1	0.563094249	
277.1	217	5.667	1.1	0.194106229	
278.9	219	2	1.8	0.9	
280.8	224	5	1.9	0.38	
280.8	226	2	0	0	
282.4	231	5	1.6	0.32	300K eingestellt
301.2	236	5	18.8	3.76	
302	238	2	0.8	0.4	
