Date and Time:                Fri May 9 20:20:39.938 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): -82,492
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	3
285,25876	4
285,76248	0
286,26624	-3
286,77002	-1
287,2738	0
287,77762	-2
288,28146	-4
288,78531	0
289,28922	1
289,79312	2
290,29706	-5
290,80103	1
291,30502	0
291,80902	1
292,31308	-2
292,81714	-2
293,32123	-3
293,82532	-1
294,32947	-3
294,83362	0
295,3378	-2
295,84201	-4
296,34625	-3
296,85049	-1
297,35477	-1
297,85907	-1
298,3634	-1
298,86777	-1
299,37213	-1
299,87656	-6
300,38098	-2
300,88541	-2
301,38989	2
301,89441	-2
302,39893	-1
302,90347	-6
303,40805	-4
303,91263	2
304,41727	-2
304,92191	8
305,42657	-5
305,93127	1
306,43597	2
306,94073	2
307,4455	-1
307,95029	1
308,45511	-3
308,95993	-1
309,46481	-4
309,9697	0
310,47461	0
310,97955	0
311,4845	-3
311,9895	4
312,49451	-1
312,99954	-2
313,50461	3
314,00967	-4
314,5148	-1
315,01993	-1
315,52509	-2
316,03027	-1
316,53546	0
317,04071	1
317,54596	1
318,05124	0
318,55655	0
319,06186	-6
319,56723	-1
320,0726	-4
320,578	-1
321,08344	5
321,58887	-3
322,09433	2
322,59985	0
323,10538	-3
323,6109	-1
324,11649	4
324,62207	4
325,12769	-2
325,63333	-4
326,13901	-7
326,64471	7
327,15042	6
327,65616	-4
328,16193	1
328,66772	-4
329,17352	-2
329,67938	-10
330,18524	-7
330,69113	3
331,19702	0
331,70297	2
332,20892	-4
332,7149	-1
333,22092	-7
333,72696	-8
334,233	3
334,73911	-3
335,24521	1
335,75134	-1
336,25748	3
336,76367	8
337,26987	0
337,77609	6
338,28235	-3
338,78864	13
339,29492	4
339,80127	-2
340,30762	-4
340,814	-4
341,32037	3
341,82681	-5
342,33325	1
342,83972	6
343,34622	-3
343,85275	-5
344,35928	1
344,86584	1
345,37247	0
345,87906	-3
346,38571	1
346,89236	1
347,39908	-9
347,90579	-5
348,41254	-1
348,91928	-1
349,42609	-2
349,93289	0
350,43973	-6
350,94659	-4
351,45349	-2
351,96039	-1
352,46732	3
352,97427	4
353,48126	4
353,98828	-2
354,4953	-3
355,00235	-6
355,50943	5
356,01654	3
356,52368	10
357,03082	-1
357,53799	-1
358,0452	-4
358,55243	-6
359,05969	-1
359,56696	2
360,07428	0
360,5816	1
361,08893	-3
361,59631	-4
362,1037	-1
362,61115	-2
363,11859	0
363,62604	4
364,13354	-5
364,64105	9
365,14859	-5
365,65616	-1
366,16376	-3
366,67139	-1
367,17902	-5
367,68668	-2
368,19437	0
368,70209	0
369,20984	-10
369,71759	-2
370,22537	3
370,73318	2
371,24103	-1
371,7489	5
372,25677	1
372,76468	-4
373,27261	4
373,78058	-3
374,28854	4
374,79657	5
375,3046	4
375,81265	-3
376,32071	-5
376,82883	-1
377,33694	-1
377,84509	6
378,35327	-4
378,86148	-7
379,36972	-2
379,87796	2
380,38623	-3
380,89453	1
381,40286	-6
381,91119	0
382,41959	-5
382,92798	-3
383,4364	-4
383,94482	0
384,45331	3
384,96179	-2
385,47031	1
385,97885	7
386,48743	5
386,996	-3
387,50464	2
388,01328	3
388,52194	2
389,03061	3
389,53934	4
390,04807	-4
390,55682	-6
391,06561	6
391,57443	-5
392,08325	-3
392,59213	-4
393,10101	-4
393,60989	-2
394,11884	2
394,62781	1
395,13678	-3
395,64578	-8
396,15482	-4
396,66385	2
397,17294	9
397,68204	6
398,19116	4
398,70032	7
399,2095	-4
399,71869	3
400,22791	3
400,73715	-4
401,24643	3
401,75574	0
402,26505	1
402,77441	-4
403,28378	6
403,79318	-8
404,30258	2
404,81204	-4
405,3215	2
405,83099	-6
406,34052	-5
406,85004	-4
407,35962	3
407,8692	3
408,37881	-4
408,88846	-4
409,3981	-2
409,90781	-1
410,41751	-5
410,92725	-8
411,43701	-8
411,94678	-2
412,4566	-2
412,96643	-4
413,47629	-3
413,98618	-3
414,49606	-5
415,00601	1
415,51596	-3
416,02594	7
416,53595	-2
417,04596	1
417,55603	5
418,0661	6
418,5762	-1
419,08633	2
419,59647	7
420,10663	1
420,61685	-10
421,12708	6
421,6373	-4
422,14758	0
422,65787	4
423,16818	3
423,67853	2
424,1889	-8
424,69931	0
425,20972	-3
425,72015	-8
426,23062	3
426,74112	1
427,25162	4
427,76218	-6
428,27274	4
428,78333	1
429,29395	4
429,80457	5
430,31522	4
430,82593	6
431,33661	9
431,84735	-5
432,35812	0
432,8689	6
433,3797	5
433,89053	6
434,4014	6
434,91226	7
435,42319	0
435,93411	5
436,44507	12
436,95602	-6
437,46704	7
437,97806	12
438,48911	10
439,00018	22
439,51129	14
440,0224	21
440,53357	24
441,04474	13
441,55594	37
442,06714	-16
442,5784	28
443,08966	14
443,60095	36
444,11227	9
444,62363	18
445,13498	25
445,64636	29
446,15778	19
446,66922	18
447,18069	58
447,69217	14
448,2037	8
448,71524	20
449,22681	29
449,73837	63
450,25	51
450,76163	36
451,27328	54
451,78497	33
452,29666	45
452,80841	43
453,32016	84
453,83194	38
454,34375	39
454,85559	48
455,36743	9
455,8793	28
456,3912	81
456,90314	29
457,4151	38
457,92706	15
458,43906	26
458,95108	27
459,46313	25
459,97522	58
460,4873	52
460,99942	36
461,51157	36
462,02374	24
462,53595	23
463,04816	28
463,56039	19
464,07266	26
464,58496	34
465,09729	35
465,60962	32
466,12198	26
466,63437	0
467,14679	26
467,65924	12
468,17169	16
468,68417	16
469,19669	9
469,70923	2
470,2218	33
470,73438	40
471,24698	10
471,75961	15
472,27228	8
472,78494	19
473,29767	11
473,81039	10
474,32315	20
474,83594	6
475,34872	21
475,86157	16
476,37442	25
476,8873	16
477,40018	8
477,91312	31
478,42606	26
478,93903	29
479,45203	14
479,96506	23
480,47812	-1
480,99118	10
481,50427	23
482,0174	22
482,53055	14
483,0437	5
483,55692	-8
484,07013	-9
484,58337	1
485,09662	9
485,60992	2
486,12323	2
486,63657	10
487,14993	13
487,66333	-2
488,17673	20
488,69019	4
489,20364	12
489,71713	11
490,23062	-5
490,74417	10
491,25772	6
491,7713	2
492,28491	12
492,79855	-5
493,31219	11
493,82587	0
494,3396	9
494,8533	14
495,36707	-4
495,88086	0
496,39465	9
496,90848	-3
497,42233	-15
497,93619	9
498,4501	1
498,96402	12
499,47797	-1
499,99194	-29
500,50595	-9
501,01996	4
501,534	-8
502,04807	-11
502,56216	1
503,07629	-2
503,59042	0
504,10461	3
504,6188	10
505,133	-10
505,64725	-5
506,1615	2
506,67581	1
507,19012	8
507,70447	-3
508,21881	3
508,73322	-11
509,24762	-1
509,76205	-18
510,27652	-2
510,79099	7
511,30551	-8
511,82004	-1
512,33459	7
512,84918	-6
513,36377	11
513,87842	17
514,39307	-12
514,90771	10
515,42242	-4
515,93719	1
516,4519	7
516,96667	-10
517,48151	-2
517,99634	-8
518,51117	-9
519,02606	2
519,54095	-3
520,05585	-5
520,5708	8
521,08582	11
521,60077	0
522,11578	-14
522,63086	7
523,14594	12
523,66101	-4
524,17615	4
524,69128	1
525,20642	9
525,72162	6
526,23682	-15
526,75208	-8
527,26733	4
527,78265	-26
528,29791	-23
528,81329	-3
529,32861	16
529,84399	-3
530,35944	17
530,87488	0
531,39032	-2
531,90582	1
532,42133	-4
532,93683	-25
533,45239	11
533,96796	10
534,48358	6
534,99921	15
535,51489	-4
536,03052	-23
536,54626	-9
537,06195	0
537,5777	-17
538,09351	-8
538,60931	8
539,12512	0
539,64099	6
540,15686	3
540,67273	2
541,18866	-1
541,70459	7
542,22058	-4
542,73657	0
543,25256	-8
543,76862	-8
544,28467	20
544,80078	-4
545,31689	-22
545,83301	-3
546,34918	-2
546,86536	-15
547,38159	5
547,89783	17
548,41412	-19
548,93036	-9
549,44672	-15
549,96301	-13
550,47937	16
550,99579	8
551,51221	17
552,02863	-2
552,54504	-6
553,06152	5
553,57806	18
554,0946	0
554,61115	-13
555,12775	0
555,64435	15
556,16095	9
556,67761	-20
557,19427	8
557,711	-24
558,22772	2
558,74445	-11
559,26123	-11
559,77802	4
560,29486	-12
560,81171	-17
561,32855	4
561,84546	-11
562,36237	10
562,87933	-1
563,3963	1
563,91327	-9
564,4303	14
564,94733	15
565,46442	2
565,98151	-17
566,4986	15
567,01575	-12
567,5329	18
568,05011	1
568,56732	-4
569,08453	-15
569,60181	7
570,11908	-2
570,63641	-16
571,15375	-21
571,67108	-20
572,18848	-10
572,70587	-10
573,22333	-15
573,74078	-8
574,25824	2
574,77576	17
575,29327	9
575,81079	-4
576,32837	-2
576,84601	-16
577,36365	-10
577,88129	5
578,39893	-16
578,91663	-7
579,43439	-13
579,95209	5
580,46991	1
580,98767	4
581,50549	-21
582,02332	15
582,5412	12
583,05908	-1
583,57703	-10
584,09497	-5
584,61292	-2
585,13092	5
585,64893	17
586,16699	9
586,68506	2
587,20313	6
587,72125	-1
588,23938	14
588,75757	-3
589,27576	-5
589,79395	-17
590,31219	-2
590,83044	2
591,34869	19
591,867	10
592,38538	5
592,90369	31
593,42206	8
593,94049	1
594,45892	-1
594,97736	25
595,49585	15
596,01434	21
596,5329	18
597,05145	11
597,57001	12
598,08862	9
598,60724	13
599,12585	23
599,64453	1
600,16327	27
600,68195	2
601,20074	-8
601,71948	4
602,23828	17
602,75708	31
603,27594	9
603,7948	25
604,31372	36
604,83264	23
605,35156	35
605,87054	20
606,38953	23
606,90851	47
607,42755	7
607,94666	12
608,4657	2
608,9848	16
609,50397	19
610,02313	9
610,5423	13
611,06152	23
611,58075	44
612,09998	19
612,61926	20
613,13861	32
613,6579	14
614,17725	31
614,69666	16
615,21606	5
615,73547	13
616,25494	10
616,77441	27
617,29388	26
617,81342	50
618,33301	19
618,85254	17
619,37213	29
619,89178	29
620,41144	7
620,93109	4
621,45081	28
621,97052	22
622,49023	11
623,01001	35
623,52985	28
624,04962	-19
624,56946	1
625,08936	8
625,60925	43
626,12915	20
626,64911	16
627,16907	0
627,68903	18
628,20905	-2
628,72906	33
629,24915	18
629,76923	22
630,28937	16
630,80945	41
631,32965	14
631,84979	19
632,37	25
632,89026	12
633,41052	49
633,93079	20
634,45111	23
634,97144	35
635,49176	-13
636,01215	20
636,53253	4
637,05298	21
637,57343	28
638,09387	24
638,61438	33
639,13495	35
639,65546	12
640,17603	43
640,69666	13
641,21729	24
641,73792	29
642,25861	-2
642,7793	11
643,29999	10
643,82074	11
644,34149	25
644,8623	5
645,38312	44
645,90393	17
646,4248	29
646,94568	10
647,46661	4
647,98755	4
648,50848	21
649,02948	-20
649,55048	3
650,07153	9
650,59259	29
651,11371	14
651,63477	25
652,15594	30
652,67706	7
653,19824	-9
653,71948	-6
654,24072	-3
654,76196	30
655,2832	10
655,8045	22
656,32587	18
656,84723	11
657,36859	5
657,89001	19
658,41144	29
658,93286	19
659,45435	11
659,97583	15
660,49738	-6
661,01892	14
661,54047	39
662,06207	5
662,58368	20
663,10535	27
663,62701	15
664,14868	35
664,67041	8
665,19214	3
665,71393	42
666,23572	47
666,75751	34
667,27936	18
667,80121	16
668,32312	23
668,84503	31
669,36694	19
669,88892	4
670,41089	33
670,93292	15
671,45496	35
671,97699	36
672,49908	43
673,02118	46
673,54333	33
674,06549	35
674,58765	44
675,10986	43
675,63208	61
676,15436	60
676,67664	35
677,19891	65
677,72125	70
678,24359	54
678,76593	74
679,28833	72
679,81079	76
680,33325	75
680,85571	89
681,37817	78
681,9007	84
682,42328	111
682,9458	118
683,46844	114
683,99103	118
684,51367	148
685,03632	158
685,55902	191
686,08173	220
686,60449	247
687,12726	253
687,65002	294
688,17285	307
688,69568	304
689,21857	343
689,74146	390
690,26434	439
690,78729	522
691,31024	573
691,83325	712
692,35626	802
692,87927	918
693,40234	1012
693,92542	1088
694,44849	1158
694,97162	1225
695,49481	1276
696,01794	1402
696,54114	1527
697,06439	1679
697,58765	1867
698,1109	2021
698,63422	2201
699,15753	2354
699,68091	2431
700,20428	2543
700,72766	2684
701,2511	2921
701,77454	3164
702,29797	3378
702,82147	3596
703,34503	3777
703,86853	3987
704,39215	4293
704,91571	4747
705,43933	5242
705,96295	5836
706,48663	6280
707,01031	6608
707,53406	6883
708,0578	6955
708,58154	6866
709,10535	6621
709,62915	6309
710,15295	5968
710,67682	5605
711,20074	5313
711,72461	5115
712,24854	4896
712,77252	4688
713,29651	4555
713,8205	4314
714,34454	4044
714,86859	3766
715,39264	3507
715,91675	3266
716,44092	3106
716,96503	2942
717,4892	2830
718,01343	2745
718,53766	2586
719,06189	2470
719,58618	2278
720,11047	2046
720,63477	1863
721,15912	1691
721,68353	1574
722,20789	1470
722,7323	1397
723,25677	1296
723,78125	1202
724,30573	1097
724,83026	1006
725,3548	917
725,87933	808
726,40393	730
726,92859	683
727,45319	603
727,97784	532
728,50256	457
729,02728	407
729,552	346
730,07678	294
730,60156	271
731,12634	225
731,65118	221
732,17603	192
732,70093	163
733,22583	164
733,75079	149
734,2757	132
734,80072	109
735,32568	111
735,85071	100
736,37579	86
736,90088	76
737,42596	67
737,95111	49
738,47626	50
739,0014	37
739,52661	28
740,05182	35
740,57709	29
741,10236	24
741,62769	19
742,15295	17
742,67834	32
743,20367	21
743,72906	10
744,25452	7
744,77997	4
745,30542	9
745,83093	4
746,35645	14
746,88196	15
747,40753	-5
747,93311	9
748,45874	17
748,98438	8
749,51001	8
750,03571	3
750,5614	10
751,08716	2
751,61292	2
752,13867	5
752,66449	4
753,19037	4
753,71619	3
754,24207	9
754,76801	4
755,29388	10
755,81989	9
756,34583	6
756,87183	13
757,39789	-3
757,92395	0
758,45001	9
758,97607	18
759,5022	11
760,02838	15
760,55457	12
761,08075	0
761,60699	9
762,13324	10
762,65948	12
763,18579	4
763,7121	12
764,23846	1
764,76483	4
765,2912	2
765,81763	7
766,34406	8
766,87054	8
767,39703	8
767,92352	9
768,45007	11
768,97662	-10
769,50323	-1
770,02985	11
770,55646	5
771,08313	1
771,6098	7
772,13654	9
772,66327	2
773,19	23
773,7168	19
774,24359	9
774,77045	7
775,2973	-4
775,82416	-5
776,35107	10
776,87799	16
777,40497	21
777,93195	8
778,45892	23
778,98596	8
779,513	13
780,0401	1
780,5672	27
781,0943	11
781,62146	22
782,14862	26
782,67578	32
783,203	19
783,73029	18
784,25757	34
784,78485	44
785,31213	33
785,83948	39
786,36688	27
786,89423	50
787,42169	56
787,9491	52
788,47656	59
789,00409	72
789,53156	49
790,05908	68
790,58667	51
791,11426	71
791,64185	40
792,16949	39
792,69714	95
793,22485	88
793,75256	70
794,28027	121
794,80804	92
795,33582	114
