Date and Time:                Fri May 9 20:08:13.383 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): -82,492
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-3
285,25876	-3
285,76248	4
286,26624	-4
286,77002	-1
287,2738	-4
287,77762	-2
288,28146	0
288,78531	4
289,28922	-3
289,79312	0
290,29706	0
290,80103	-1
291,30502	-1
291,80902	-4
292,31308	2
292,81714	2
293,32123	2
293,82532	-2
294,32947	0
294,83362	0
295,3378	-6
295,84201	-5
296,34625	-2
296,85049	0
297,35477	-3
297,85907	0
298,3634	-10
298,86777	0
299,37213	-1
299,87656	2
300,38098	-3
300,88541	2
301,38989	2
301,89441	3
302,39893	-4
302,90347	4
303,40805	0
303,91263	4
304,41727	4
304,92191	-2
305,42657	0
305,93127	-5
306,43597	-1
306,94073	3
307,4455	4
307,95029	0
308,45511	-3
308,95993	-1
309,46481	2
309,9697	-4
310,47461	7
310,97955	-1
311,4845	2
311,9895	-2
312,49451	4
312,99954	-2
313,50461	-1
314,00967	-6
314,5148	-2
315,01993	2
315,52509	2
316,03027	-2
316,53546	7
317,04071	-3
317,54596	-6
318,05124	-4
318,55655	-3
319,06186	-3
319,56723	2
320,0726	-8
320,578	-7
321,08344	0
321,58887	-6
322,09433	-6
322,59985	0
323,10538	0
323,6109	-5
324,11649	-4
324,62207	1
325,12769	5
325,63333	-2
326,13901	6
326,64471	1
327,15042	-5
327,65616	2
328,16193	-4
328,66772	-5
329,17352	1
329,67938	1
330,18524	-3
330,69113	7
331,19702	-2
331,70297	3
332,20892	-4
332,7149	3
333,22092	-4
333,72696	0
334,233	-6
334,73911	-4
335,24521	5
335,75134	-3
336,25748	3
336,76367	0
337,26987	-5
337,77609	-1
338,28235	2
338,78864	-5
339,29492	4
339,80127	-1
340,30762	1
340,814	-11
341,32037	-4
341,82681	-6
342,33325	6
342,83972	0
343,34622	-6
343,85275	-5
344,35928	-2
344,86584	-3
345,37247	0
345,87906	0
346,38571	-3
346,89236	-4
347,39908	-1
347,90579	2
348,41254	4
348,91928	-6
349,42609	-5
349,93289	-3
350,43973	1
350,94659	2
351,45349	-3
351,96039	7
352,46732	5
352,97427	2
353,48126	2
353,98828	2
354,4953	-1
355,00235	6
355,50943	-6
356,01654	-9
356,52368	5
357,03082	3
357,53799	0
358,0452	-3
358,55243	-7
359,05969	-5
359,56696	1
360,07428	0
360,5816	4
361,08893	-1
361,59631	-2
362,1037	-2
362,61115	0
363,11859	0
363,62604	-1
364,13354	-7
364,64105	5
365,14859	-8
365,65616	4
366,16376	-1
366,67139	0
367,17902	1
367,68668	-3
368,19437	-6
368,70209	-1
369,20984	2
369,71759	0
370,22537	-2
370,73318	-3
371,24103	-3
371,7489	4
372,25677	-8
372,76468	1
373,27261	-1
373,78058	-3
374,28854	-8
374,79657	-1
375,3046	2
375,81265	-4
376,32071	-4
376,82883	-9
377,33694	-7
377,84509	-4
378,35327	-4
378,86148	-1
379,36972	1
379,87796	8
380,38623	2
380,89453	-9
381,40286	-12
381,91119	9
382,41959	-7
382,92798	-1
383,4364	3
383,94482	-4
384,45331	2
384,96179	-6
385,47031	-2
385,97885	3
386,48743	7
386,996	1
387,50464	-3
388,01328	1
388,52194	0
389,03061	-6
389,53934	-9
390,04807	-4
390,55682	4
391,06561	-12
391,57443	-3
392,08325	-3
392,59213	-3
393,10101	8
393,60989	-2
394,11884	1
394,62781	2
395,13678	-1
395,64578	-9
396,15482	-2
396,66385	-1
397,17294	6
397,68204	-3
398,19116	5
398,70032	5
399,2095	-1
399,71869	2
400,22791	-2
400,73715	-4
401,24643	-6
401,75574	-3
402,26505	-14
402,77441	4
403,28378	-3
403,79318	-1
404,30258	-3
404,81204	2
405,3215	-4
405,83099	-5
406,34052	-7
406,85004	-4
407,35962	-9
407,8692	1
408,37881	-2
408,88846	1
409,3981	-2
409,90781	-5
410,41751	0
410,92725	4
411,43701	-2
411,94678	7
412,4566	-8
412,96643	-3
413,47629	4
413,98618	3
414,49606	3
415,00601	-8
415,51596	0
416,02594	4
416,53595	2
417,04596	-1
417,55603	6
418,0661	1
418,5762	-6
419,08633	-2
419,59647	0
420,10663	5
420,61685	5
421,12708	3
421,6373	-2
422,14758	-1
422,65787	-1
423,16818	5
423,67853	4
424,1889	-3
424,69931	-1
425,20972	2
425,72015	3
426,23062	4
426,74112	2
427,25162	-6
427,76218	-4
428,27274	9
428,78333	-6
429,29395	0
429,80457	4
430,31522	1
430,82593	2
431,33661	3
431,84735	-2
432,35812	-1
432,8689	-4
433,3797	-7
433,89053	5
434,4014	6
434,91226	0
435,42319	-6
435,93411	-2
436,44507	-10
436,95602	1
437,46704	6
437,97806	0
438,48911	-2
439,00018	-11
439,51129	-20
440,0224	-2
440,53357	-13
441,04474	10
441,55594	-4
442,06714	11
442,5784	-6
443,08966	5
443,60095	-12
444,11227	-19
444,62363	8
445,13498	-13
445,64636	-3
446,15778	-1
446,66922	-7
447,18069	12
447,69217	-12
448,2037	-11
448,71524	-5
449,22681	4
449,73837	-20
450,25	-22
450,76163	-6
451,27328	1
451,78497	-9
452,29666	3
452,80841	-13
453,32016	1
453,83194	-15
454,34375	1
454,85559	-1
455,36743	-14
455,8793	-3
456,3912	-1
456,90314	-22
457,4151	-7
457,92706	-30
458,43906	-13
458,95108	-12
459,46313	-11
459,97522	10
460,4873	-29
460,99942	2
461,51157	11
462,02374	3
462,53595	-10
463,04816	-17
463,56039	-24
464,07266	-6
464,58496	-22
465,09729	-6
465,60962	7
466,12198	11
466,63437	-10
467,14679	-2
467,65924	-6
468,17169	-9
468,68417	22
469,19669	-5
469,70923	0
470,2218	6
470,73438	-5
471,24698	8
471,75961	-5
472,27228	6
472,78494	16
473,29767	4
473,81039	2
474,32315	0
474,83594	13
475,34872	11
475,86157	6
476,37442	3
476,8873	11
477,40018	11
477,91312	5
478,42606	4
478,93903	17
479,45203	5
479,96506	9
480,47812	20
480,99118	-9
481,50427	-6
482,0174	9
482,53055	5
483,0437	-8
483,55692	7
484,07013	8
484,58337	3
485,09662	-6
485,60992	1
486,12323	1
486,63657	-5
487,14993	7
487,66333	6
488,17673	2
488,69019	-4
489,20364	3
489,71713	5
490,23062	19
490,74417	10
491,25772	3
491,7713	-4
492,28491	1
492,79855	2
493,31219	4
493,82587	11
494,3396	-4
494,8533	-1
495,36707	-2
495,88086	-14
496,39465	-14
496,90848	-9
497,42233	-6
497,93619	-10
498,4501	18
498,96402	10
499,47797	-1
499,99194	-8
500,50595	-16
501,01996	4
501,534	7
502,04807	3
502,56216	13
503,07629	9
503,59042	0
504,10461	-1
504,6188	8
505,133	-15
505,64725	-9
506,1615	11
506,67581	-4
507,19012	-3
507,70447	-3
508,21881	1
508,73322	-4
509,24762	-11
509,76205	15
510,27652	-4
510,79099	3
511,30551	-4
511,82004	-19
512,33459	-10
512,84918	3
513,36377	-11
513,87842	9
514,39307	5
514,90771	15
515,42242	-7
515,93719	9
516,4519	-14
516,96667	2
517,48151	3
517,99634	-2
518,51117	1
519,02606	11
519,54095	9
520,05585	-3
520,5708	-9
521,08582	1
521,60077	7
522,11578	-14
522,63086	3
523,14594	-10
523,66101	-11
524,17615	26
524,69128	0
525,20642	15
525,72162	10
526,23682	7
526,75208	10
527,26733	-11
527,78265	2
528,29791	2
528,81329	-16
529,32861	9
529,84399	19
530,35944	5
530,87488	-12
531,39032	-3
531,90582	23
532,42133	5
532,93683	-11
533,45239	14
533,96796	-5
534,48358	-8
534,99921	-13
535,51489	24
536,03052	7
536,54626	1
537,06195	-3
537,5777	-7
538,09351	10
538,60931	6
539,12512	-12
539,64099	-21
540,15686	-14
540,67273	29
541,18866	15
541,70459	-9
542,22058	-9
542,73657	-15
543,25256	15
543,76862	-19
544,28467	-12
544,80078	3
545,31689	-1
545,83301	-18
546,34918	1
546,86536	6
547,38159	-8
547,89783	8
548,41412	2
548,93036	-12
549,44672	-11
549,96301	-4
550,47937	12
550,99579	13
551,51221	0
552,02863	14
552,54504	5
553,06152	-2
553,57806	-3
554,0946	-14
554,61115	-21
555,12775	15
555,64435	9
556,16095	-1
556,67761	9
557,19427	-2
557,711	2
558,22772	12
558,74445	-3
559,26123	10
559,77802	12
560,29486	-2
560,81171	9
561,32855	6
561,84546	8
562,36237	16
562,87933	-21
563,3963	17
563,91327	10
564,4303	13
564,94733	-6
565,46442	18
565,98151	-19
566,4986	8
567,01575	-11
567,5329	2
568,05011	-16
568,56732	-1
569,08453	7
569,60181	13
570,11908	-9
570,63641	-18
571,15375	-10
571,67108	1
572,18848	3
572,70587	-4
573,22333	2
573,74078	3
574,25824	1
574,77576	-15
575,29327	-9
575,81079	10
576,32837	7
576,84601	4
577,36365	-20
577,88129	12
578,39893	21
578,91663	13
579,43439	1
579,95209	1
580,46991	-11
580,98767	19
581,50549	34
582,02332	8
582,5412	8
583,05908	2
583,57703	-1
584,09497	-2
584,61292	12
585,13092	-2
585,64893	11
586,16699	-2
586,68506	6
587,20313	4
587,72125	17
588,23938	7
588,75757	9
589,27576	7
589,79395	7
590,31219	10
590,83044	19
591,34869	7
591,867	-5
592,38538	-12
592,90369	15
593,42206	7
593,94049	-11
594,45892	54
594,97736	17
595,49585	29
596,01434	15
596,5329	10
597,05145	40
597,57001	-20
598,08862	24
598,60724	-5
599,12585	3
599,64453	-12
600,16327	51
600,68195	15
601,20074	11
601,71948	-16
602,23828	23
602,75708	13
603,27594	-7
603,7948	15
604,31372	27
604,83264	18
605,35156	27
605,87054	31
606,38953	34
606,90851	22
607,42755	11
607,94666	41
608,4657	12
608,9848	34
609,50397	18
610,02313	27
610,5423	6
611,06152	15
611,58075	19
612,09998	16
612,61926	24
613,13861	3
613,6579	28
614,17725	13
614,69666	-12
615,21606	25
615,73547	21
616,25494	19
616,77441	28
617,29388	20
617,81342	19
618,33301	16
618,85254	56
619,37213	17
619,89178	15
620,41144	0
620,93109	40
621,45081	22
621,97052	34
622,49023	34
623,01001	24
623,52985	15
624,04962	4
624,56946	32
625,08936	5
625,60925	2
626,12915	6
626,64911	15
627,16907	14
627,68903	39
628,20905	27
628,72906	7
629,24915	27
629,76923	30
630,28937	-2
630,80945	-2
631,32965	11
631,84979	10
632,37	-17
632,89026	39
633,41052	26
633,93079	-11
634,45111	19
634,97144	10
635,49176	19
636,01215	11
636,53253	26
637,05298	-10
637,57343	3
638,09387	22
638,61438	13
639,13495	9
639,65546	7
640,17603	9
640,69666	10
641,21729	50
641,73792	26
642,25861	2
642,7793	14
643,29999	40
643,82074	19
644,34149	18
644,8623	19
645,38312	6
645,90393	5
646,4248	31
646,94568	20
647,46661	27
647,98755	13
648,50848	24
649,02948	1
649,55048	28
650,07153	22
650,59259	32
651,11371	11
651,63477	16
652,15594	31
652,67706	6
653,19824	30
653,71948	-7
654,24072	21
654,76196	23
655,2832	1
655,8045	23
656,32587	5
656,84723	33
657,36859	14
657,89001	12
658,41144	-1
658,93286	21
659,45435	31
659,97583	32
660,49738	13
661,01892	3
661,54047	2
662,06207	0
662,58368	19
663,10535	14
663,62701	17
664,14868	8
664,67041	30
665,19214	30
665,71393	23
666,23572	43
666,75751	31
667,27936	40
667,80121	24
668,32312	13
668,84503	28
669,36694	35
669,88892	28
670,41089	49
670,93292	51
671,45496	54
671,97699	32
672,49908	58
673,02118	71
673,54333	60
674,06549	53
674,58765	60
675,10986	82
675,63208	52
676,15436	92
676,67664	87
677,19891	75
677,72125	92
678,24359	91
678,76593	108
679,28833	100
679,81079	130
680,33325	107
680,85571	125
681,37817	134
681,9007	155
682,42328	168
682,9458	186
683,46844	202
683,99103	234
684,51367	254
685,03632	264
685,55902	302
686,08173	312
686,60449	364
687,12726	410
687,65002	419
688,17285	436
688,69568	497
689,21857	530
689,74146	590
690,26434	676
690,78729	784
691,31024	901
691,83325	1093
692,35626	1264
692,87927	1430
693,40234	1596
693,92542	1752
694,44849	1836
694,97162	1938
695,49481	2055
696,01794	2210
696,54114	2480
697,06439	2707
697,58765	2925
698,1109	3144
698,63422	3327
699,15753	3415
699,68091	3509
700,20428	3555
700,72766	3654
701,2511	3796
701,77454	4040
702,29797	4274
702,82147	4520
703,34503	4833
703,86853	5265
704,39215	5834
704,91571	6625
705,43933	7431
705,96295	8171
706,48663	8812
707,01031	9352
707,53406	9618
708,0578	9662
708,58154	9471
709,10535	9112
709,62915	8674
710,15295	8257
710,67682	7877
711,20074	7513
711,72461	7234
712,24854	7000
712,77252	6908
713,29651	6750
713,8205	6451
714,34454	6060
714,86859	5699
715,39264	5287
715,91675	4921
716,44092	4662
716,96503	4512
717,4892	4307
718,01343	4164
718,53766	3968
719,06189	3753
719,58618	3444
720,11047	3134
720,63477	2879
721,15912	2690
721,68353	2603
722,20789	2505
722,7323	2332
723,25677	2208
723,78125	2019
724,30573	1858
724,83026	1684
725,3548	1518
725,87933	1337
726,40393	1197
726,92859	1091
727,45319	982
727,97784	869
728,50256	748
729,02728	649
729,552	588
730,07678	496
730,60156	428
731,12634	382
731,65118	347
732,17603	281
732,70093	262
733,22583	220
733,75079	212
734,2757	182
734,80072	173
735,32568	154
735,85071	144
736,37579	119
736,90088	107
737,42596	87
737,95111	82
738,47626	61
739,0014	54
739,52661	55
740,05182	44
740,57709	37
741,10236	30
741,62769	28
742,15295	23
742,67834	14
743,20367	22
743,72906	21
744,25452	8
744,77997	3
745,30542	15
745,83093	4
746,35645	26
746,88196	3
747,40753	-1
747,93311	16
748,45874	15
748,98438	14
749,51001	12
750,03571	10
750,5614	0
751,08716	11
751,61292	9
752,13867	15
752,66449	4
753,19037	4
753,71619	15
754,24207	6
754,76801	4
755,29388	3
755,81989	10
756,34583	-1
756,87183	8
757,39789	4
757,92395	12
758,45001	9
758,97607	4
759,5022	4
760,02838	0
760,55457	12
761,08075	0
761,60699	2
762,13324	-3
762,65948	9
763,18579	-4
763,7121	-3
764,23846	16
764,76483	6
765,2912	2
765,81763	7
766,34406	-5
766,87054	-3
767,39703	-3
767,92352	3
768,45007	0
768,97662	7
769,50323	-1
770,02985	11
770,55646	0
771,08313	8
771,6098	-3
772,13654	3
772,66327	12
773,19	4
773,7168	-4
774,24359	-15
774,77045	4
775,2973	-2
775,82416	2
776,35107	11
776,87799	6
777,40497	-9
777,93195	2
778,45892	6
778,98596	1
779,513	9
780,0401	3
780,5672	8
781,0943	8
781,62146	-26
782,14862	-4
782,67578	17
783,203	-15
783,73029	-4
784,25757	3
784,78485	1
785,31213	3
785,83948	0
786,36688	6
786,89423	18
787,42169	12
787,9491	-3
788,47656	15
789,00409	-3
789,53156	17
790,05908	-6
