Date and Time:                Thu May 22 13:34:45.335 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-2
285,25876	0
285,76248	-5
286,26624	7
286,77002	-3
287,2738	7
287,77762	-4
288,28146	0
288,78531	-7
289,28922	8
289,79312	3
290,29706	5
290,80103	0
291,30502	-2
291,80902	-2
292,31308	5
292,81714	-2
293,32123	7
293,82532	6
294,32947	5
294,83362	-6
295,3378	8
295,84201	-3
296,34625	1
296,85049	5
297,35477	1
297,85907	-2
298,3634	1
298,86777	4
299,37213	3
299,87656	-3
300,38098	-2
300,88541	-2
301,38989	4
301,89441	0
302,39893	1
302,90347	3
303,40805	4
303,91263	0
304,41727	-8
304,92191	6
305,42657	6
305,93127	7
306,43597	6
306,94073	4
307,4455	3
307,95029	-7
308,45511	-2
308,95993	9
309,46481	4
309,9697	-2
310,47461	1
310,97955	4
311,4845	1
311,9895	1
312,49451	-1
312,99954	2
313,50461	5
314,00967	8
314,5148	0
315,01993	5
315,52509	-1
316,03027	5
316,53546	8
317,04071	-1
317,54596	-1
318,05124	2
318,55655	3
319,06186	4
319,56723	4
320,0726	1
320,578	-1
321,08344	3
321,58887	1
322,09433	-1
322,59985	3
323,10538	-2
323,6109	5
324,11649	3
324,62207	5
325,12769	0
325,63333	-3
326,13901	9
326,64471	1
327,15042	3
327,65616	13
328,16193	11
328,66772	4
329,17352	7
329,67938	-1
330,18524	4
330,69113	-2
331,19702	1
331,70297	9
332,20892	6
332,7149	3
333,22092	-3
333,72696	0
334,233	3
334,73911	10
335,24521	7
335,75134	4
336,25748	5
336,76367	3
337,26987	2
337,77609	-2
338,28235	2
338,78864	5
339,29492	-8
339,80127	0
340,30762	-3
340,814	-2
341,32037	-4
341,82681	9
342,33325	7
342,83972	-1
343,34622	-1
343,85275	3
344,35928	1
344,86584	-2
345,37247	-3
345,87906	6
346,38571	-2
346,89236	7
347,39908	-1
347,90579	-2
348,41254	-3
348,91928	3
349,42609	6
349,93289	5
350,43973	-2
350,94659	1
351,45349	4
351,96039	5
352,46732	-1
352,97427	1
353,48126	2
353,98828	3
354,4953	0
355,00235	10
355,50943	3
356,01654	1
356,52368	-8
357,03082	6
357,53799	13
358,0452	12
358,55243	-4
359,05969	-3
359,56696	2
360,07428	4
360,5816	1
361,08893	7
361,59631	4
362,1037	-10
362,61115	11
363,11859	4
363,62604	-1
364,13354	2
364,64105	5
365,14859	1
365,65616	-5
366,16376	-2
366,67139	5
367,17902	-4
367,68668	8
368,19437	4
368,70209	0
369,20984	1
369,71759	-4
370,22537	0
370,73318	5
371,24103	1
371,7489	-4
372,25677	4
372,76468	4
373,27261	1
373,78058	5
374,28854	13
374,79657	2
375,3046	13
375,81265	-12
376,32071	12
376,82883	6
377,33694	5
377,84509	-3
378,35327	-4
378,86148	5
379,36972	2
379,87796	-5
380,38623	5
380,89453	8
381,40286	1
381,91119	5
382,41959	7
382,92798	-2
383,4364	0
383,94482	0
384,45331	2
384,96179	3
385,47031	-3
385,97885	6
386,48743	1
386,996	-4
387,50464	9
388,01328	6
388,52194	6
389,03061	-1
389,53934	12
390,04807	2
390,55682	7
391,06561	5
391,57443	6
392,08325	4
392,59213	3
393,10101	0
393,60989	-3
394,11884	4
394,62781	-2
395,13678	6
395,64578	5
396,15482	2
396,66385	4
397,17294	1
397,68204	2
398,19116	1
398,70032	-3
399,2095	6
399,71869	-3
400,22791	0
400,73715	-2
401,24643	4
401,75574	0
402,26505	3
402,77441	2
403,28378	-1
403,79318	-2
404,30258	-1
404,81204	-2
405,3215	7
405,83099	5
406,34052	4
406,85004	1
407,35962	-1
407,8692	6
408,37881	7
408,88846	7
409,3981	6
409,90781	-3
410,41751	7
410,92725	-3
411,43701	6
411,94678	9
412,4566	2
412,96643	2
413,47629	-1
413,98618	8
414,49606	3
415,00601	6
415,51596	6
416,02594	-4
416,53595	1
417,04596	8
417,55603	-5
418,0661	0
418,5762	3
419,08633	8
419,59647	7
420,10663	5
420,61685	6
421,12708	0
421,6373	-3
422,14758	9
422,65787	5
423,16818	3
423,67853	4
424,1889	3
424,69931	6
425,20972	9
425,72015	7
426,23062	7
426,74112	-2
427,25162	7
427,76218	1
428,27274	2
428,78333	5
429,29395	4
429,80457	10
430,31522	8
430,82593	-1
431,33661	1
431,84735	11
432,35812	21
432,8689	8
433,3797	9
433,89053	15
434,4014	9
434,91226	4
435,42319	7
435,93411	16
436,44507	13
436,95602	21
437,46704	28
437,97806	6
438,48911	26
439,00018	14
439,51129	8
440,0224	2
440,53357	-2
441,04474	8
441,55594	22
442,06714	19
442,5784	14
443,08966	43
443,60095	31
444,11227	25
444,62363	22
445,13498	36
445,64636	20
446,15778	16
446,66922	36
447,18069	39
447,69217	57
448,2037	36
448,71524	38
449,22681	30
449,73837	42
450,25	64
450,76163	50
451,27328	49
451,78497	47
452,29666	44
452,80841	58
453,32016	86
453,83194	57
454,34375	60
454,85559	77
455,36743	78
455,8793	71
456,3912	70
456,90314	112
457,4151	83
457,92706	99
458,43906	95
458,95108	135
459,46313	125
459,97522	132
460,4873	187
460,99942	160
461,51157	202
462,02374	254
462,53595	283
463,04816	323
463,56039	366
464,07266	422
464,58496	465
465,09729	538
465,60962	639
466,12198	717
466,63437	819
467,14679	922
467,65924	1034
468,17169	1192
468,68417	1318
469,19669	1483
469,70923	1612
470,2218	1792
470,73438	1935
471,24698	2082
471,75961	2169
472,27228	2278
472,78494	2392
473,29767	2493
473,81039	2517
474,32315	2580
474,83594	2564
475,34872	2552
475,86157	2498
476,37442	2446
476,8873	2434
477,40018	2292
477,91312	2216
478,42606	2077
478,93903	1894
479,45203	1766
