Date and Time:                Fri May 23 21:20:22.914 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,07
Accumulate Cycle Time (secs): 0,07
Frequency (Hz):               14,286
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	98
285,25876	99
285,76248	108
286,26624	118
286,77002	102
287,2738	111
287,77762	109
288,28146	106
288,78531	95
289,28922	109
289,79312	102
290,29706	125
290,80103	103
291,30502	133
291,80902	118
292,31308	96
292,81714	106
293,32123	120
293,82532	134
294,32947	108
294,83362	105
295,3378	113
295,84201	139
296,34625	111
296,85049	113
297,35477	143
297,85907	116
298,3634	108
298,86777	120
299,37213	99
299,87656	133
300,38098	107
300,88541	125
301,38989	104
301,89441	141
302,39893	109
302,90347	129
303,40805	123
303,91263	108
304,41727	107
304,92191	124
305,42657	111
305,93127	129
306,43597	131
306,94073	108
307,4455	115
307,95029	117
308,45511	142
308,95993	141
309,46481	130
309,9697	116
310,47461	128
310,97955	127
311,4845	125
311,9895	116
312,49451	120
312,99954	123
313,50461	122
314,00967	128
314,5148	141
315,01993	132
315,52509	136
316,03027	130
316,53546	148
317,04071	121
317,54596	123
318,05124	134
318,55655	124
319,06186	139
319,56723	138
320,0726	137
320,578	134
321,08344	141
321,58887	151
322,09433	124
322,59985	135
323,10538	134
323,6109	140
324,11649	130
324,62207	141
325,12769	132
325,63333	126
326,13901	153
326,64471	153
327,15042	136
327,65616	153
328,16193	155
328,66772	150
329,17352	157
329,67938	148
330,18524	159
330,69113	153
331,19702	173
331,70297	151
332,20892	151
332,7149	151
333,22092	150
333,72696	153
334,233	148
334,73911	159
335,24521	158
335,75134	143
336,25748	168
336,76367	168
337,26987	158
337,77609	161
338,28235	174
338,78864	148
339,29492	162
339,80127	167
340,30762	153
340,814	163
341,32037	171
341,82681	156
342,33325	156
342,83972	156
343,34622	183
343,85275	170
344,35928	167
344,86584	194
345,37247	171
345,87906	180
346,38571	169
346,89236	170
347,39908	172
347,90579	178
348,41254	179
348,91928	171
349,42609	160
349,93289	179
350,43973	180
350,94659	171
351,45349	160
351,96039	174
352,46732	170
352,97427	152
353,48126	165
353,98828	189
354,4953	170
355,00235	190
355,50943	189
356,01654	175
356,52368	180
357,03082	173
357,53799	193
358,0452	172
358,55243	169
359,05969	190
359,56696	179
360,07428	171
360,5816	171
361,08893	197
361,59631	197
362,1037	162
362,61115	191
363,11859	170
363,62604	182
364,13354	176
364,64105	192
365,14859	174
365,65616	183
366,16376	174
366,67139	176
367,17902	188
367,68668	202
368,19437	190
368,70209	171
369,20984	184
369,71759	178
370,22537	174
370,73318	178
371,24103	182
371,7489	174
372,25677	195
372,76468	158
373,27261	179
373,78058	192
374,28854	175
374,79657	180
375,3046	186
375,81265	169
376,32071	192
376,82883	176
377,33694	173
377,84509	176
378,35327	196
378,86148	159
379,36972	170
379,87796	170
380,38623	163
380,89453	163
381,40286	170
381,91119	177
382,41959	170
382,92798	168
383,4364	166
383,94482	173
384,45331	173
384,96179	155
385,47031	196
385,97885	160
386,48743	158
386,996	182
387,50464	182
388,01328	174
388,52194	160
389,03061	159
389,53934	180
390,04807	174
390,55682	162
391,06561	180
391,57443	173
392,08325	162
392,59213	151
393,10101	188
393,60989	156
394,11884	167
394,62781	147
395,13678	171
395,64578	162
396,15482	157
396,66385	171
397,17294	140
397,68204	148
398,19116	160
398,70032	164
399,2095	155
399,71869	175
400,22791	139
400,73715	148
401,24643	161
401,75574	156
402,26505	124
402,77441	156
403,28378	136
403,79318	163
404,30258	158
404,81204	137
405,3215	148
405,83099	151
406,34052	136
406,85004	151
407,35962	155
407,8692	127
408,37881	139
408,88846	147
409,3981	150
409,90781	135
410,41751	144
410,92725	124
411,43701	146
411,94678	132
412,4566	142
412,96643	124
413,47629	134
413,98618	122
414,49606	133
415,00601	134
415,51596	119
416,02594	152
416,53595	143
417,04596	130
417,55603	126
418,0661	132
418,5762	125
419,08633	110
419,59647	136
420,10663	142
420,61685	126
421,12708	122
421,6373	129
422,14758	127
422,65787	134
423,16818	138
423,67853	110
424,1889	106
424,69931	125
425,20972	135
425,72015	117
426,23062	121
426,74112	110
427,25162	133
427,76218	121
428,27274	123
428,78333	139
429,29395	137
429,80457	128
430,31522	136
430,82593	142
431,33661	139
431,84735	134
432,35812	125
432,8689	110
433,3797	134
433,89053	140
434,4014	127
434,91226	124
435,42319	144
435,93411	130
436,44507	123
436,95602	131
437,46704	129
437,97806	120
438,48911	119
439,00018	137
439,51129	136
440,0224	150
440,53357	121
441,04474	120
441,55594	144
442,06714	116
442,5784	131
443,08966	126
443,60095	144
444,11227	144
444,62363	119
445,13498	122
445,64636	120
446,15778	140
446,66922	137
447,18069	153
447,69217	136
448,2037	129
448,71524	118
449,22681	147
449,73837	107
450,25	134
450,76163	131
451,27328	130
451,78497	128
452,29666	137
452,80841	148
453,32016	159
453,83194	138
454,34375	158
454,85559	173
455,36743	191
455,8793	215
456,3912	224
456,90314	223
457,4151	267
457,92706	274
458,43906	283
458,95108	325
459,46313	376
459,97522	414
460,4873	462
460,99942	520
461,51157	560
462,02374	657
462,53595	719
463,04816	839
463,56039	947
464,07266	1085
464,58496	1254
465,09729	1451
465,60962	1672
466,12198	1939
466,63437	2260
467,14679	2637
467,65924	3016
468,17169	3388
468,68417	3883
469,19669	4324
469,70923	4833
470,2218	5368
470,73438	5914
471,24698	6410
471,75961	6886
472,27228	7357
472,78494	7773
473,29767	8086
473,81039	8420
474,32315	8592
474,83594	8710
475,34872	8749
475,86157	8782
476,37442	8734
476,8873	8630
477,40018	8500
477,91312	8191
478,42606	7707
478,93903	7233
479,45203	6713
479,96506	6161
480,47812	5576
480,99118	5097
481,50427	4559
482,0174	4049
482,53055	3577
483,0437	3117
483,55692	2733
484,07013	2390
