Date and Time:                Fri May 23 20:32:52.420 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	329
285,25876	338
285,76248	326
286,26624	344
286,77002	350
287,2738	323
287,77762	328
288,28146	334
288,78531	353
289,28922	328
289,79312	341
290,29706	331
290,80103	364
291,30502	362
291,80902	364
292,31308	373
292,81714	373
293,32123	351
293,82532	351
294,32947	342
294,83362	355
295,3378	348
295,84201	363
296,34625	359
296,85049	351
297,35477	387
297,85907	385
298,3634	373
298,86777	386
299,37213	354
299,87656	391
300,38098	383
300,88541	399
301,38989	375
301,89441	426
302,39893	389
302,90347	382
303,40805	400
303,91263	394
304,41727	402
304,92191	419
305,42657	403
305,93127	406
306,43597	424
306,94073	427
307,4455	423
307,95029	410
308,45511	417
308,95993	422
309,46481	451
309,9697	434
310,47461	443
310,97955	435
311,4845	436
311,9895	434
312,49451	420
312,99954	429
313,50461	442
314,00967	448
314,5148	427
315,01993	451
315,52509	442
316,03027	453
316,53546	470
317,04071	466
317,54596	476
318,05124	475
318,55655	498
319,06186	481
319,56723	479
320,0726	486
320,578	485
321,08344	460
321,58887	475
322,09433	471
322,59985	482
323,10538	488
323,6109	514
324,11649	478
324,62207	506
325,12769	506
325,63333	491
326,13901	504
326,64471	499
327,15042	525
327,65616	514
328,16193	514
328,66772	506
329,17352	529
329,67938	497
330,18524	515
330,69113	521
331,19702	516
331,70297	531
332,20892	515
332,7149	548
333,22092	545
333,72696	513
334,233	511
334,73911	517
335,24521	513
335,75134	530
336,25748	543
336,76367	525
337,26987	544
337,77609	533
338,28235	559
338,78864	539
339,29492	506
339,80127	542
340,30762	560
340,814	550
341,32037	546
341,82681	514
342,33325	540
342,83972	536
343,34622	537
343,85275	543
344,35928	564
344,86584	552
345,37247	545
345,87906	553
346,38571	523
346,89236	550
347,39908	573
347,90579	554
348,41254	573
348,91928	531
349,42609	542
349,93289	560
350,43973	557
350,94659	552
351,45349	554
351,96039	541
352,46732	542
352,97427	543
353,48126	554
353,98828	570
354,4953	549
355,00235	567
355,50943	562
356,01654	534
356,52368	573
357,03082	574
357,53799	559
358,0452	592
358,55243	592
359,05969	590
359,56696	609
360,07428	623
360,5816	616
361,08893	620
361,59631	657
362,1037	645
362,61115	680
363,11859	687
363,62604	695
364,13354	696
364,64105	698
365,14859	683
365,65616	681
366,16376	691
366,67139	669
367,17902	657
367,68668	663
368,19437	649
368,70209	601
369,20984	593
369,71759	587
370,22537	576
370,73318	555
371,24103	533
371,7489	527
372,25677	526
372,76468	525
373,27261	507
373,78058	520
374,28854	493
374,79657	496
375,3046	500
375,81265	481
376,32071	498
376,82883	479
377,33694	504
377,84509	493
378,35327	487
378,86148	490
379,36972	488
379,87796	478
380,38623	499
380,89453	485
381,40286	483
381,91119	489
382,41959	488
382,92798	498
383,4364	477
383,94482	470
384,45331	473
384,96179	465
385,47031	484
385,97885	472
386,48743	460
386,996	464
387,50464	452
388,01328	473
388,52194	447
389,03061	450
389,53934	460
390,04807	457
390,55682	460
391,06561	465
391,57443	444
392,08325	455
392,59213	454
393,10101	452
393,60989	451
394,11884	435
394,62781	439
395,13678	425
395,64578	429
396,15482	445
396,66385	422
397,17294	418
397,68204	423
398,19116	425
398,70032	424
399,2095	407
399,71869	434
400,22791	420
400,73715	424
401,24643	410
401,75574	426
402,26505	411
402,77441	413
403,28378	410
403,79318	423
404,30258	400
404,81204	425
405,3215	415
405,83099	395
406,34052	408
406,85004	403
407,35962	388
407,8692	389
408,37881	401
408,88846	410
409,3981	393
409,90781	386
410,41751	386
410,92725	369
411,43701	370
411,94678	369
412,4566	384
412,96643	383
413,47629	373
413,98618	373
414,49606	362
415,00601	377
415,51596	393
416,02594	370
416,53595	369
417,04596	375
417,55603	366
418,0661	371
418,5762	357
419,08633	374
419,59647	387
420,10663	365
420,61685	369
421,12708	372
421,6373	372
422,14758	353
422,65787	346
423,16818	370
423,67853	363
424,1889	371
424,69931	399
425,20972	367
425,72015	366
426,23062	389
426,74112	364
427,25162	371
427,76218	366
428,27274	392
428,78333	389
429,29395	390
429,80457	389
430,31522	390
430,82593	414
431,33661	409
431,84735	409
432,35812	402
432,8689	420
433,3797	422
433,89053	413
434,4014	437
434,91226	452
435,42319	444
435,93411	437
436,44507	461
436,95602	446
437,46704	456
437,97806	435
438,48911	442
439,00018	457
439,51129	432
440,0224	462
440,53357	468
441,04474	444
441,55594	435
442,06714	462
442,5784	453
443,08966	430
443,60095	442
444,11227	449
444,62363	454
445,13498	436
445,64636	411
446,15778	432
446,66922	452
447,18069	470
447,69217	424
448,2037	412
448,71524	408
449,22681	402
449,73837	381
450,25	472
450,76163	428
451,27328	458
451,78497	468
452,29666	475
452,80841	507
453,32016	573
453,83194	573
454,34375	636
454,85559	704
455,36743	732
455,8793	829
456,3912	868
456,90314	1008
457,4151	1078
457,92706	1192
458,43906	1363
458,95108	1481
459,46313	1723
459,97522	1869
460,4873	2130
460,99942	2371
461,51157	2638
462,02374	3006
462,53595	3400
463,04816	3810
463,56039	4297
464,07266	4784
464,58496	5346
465,09729	5873
465,60962	6504
466,12198	7259
466,63437	7970
467,14679	8775
467,65924	9640
468,17169	10630
468,68417	11685
469,19669	12983
469,70923	14342
470,2218	15927
470,73438	17734
471,24698	19690
471,75961	21976
472,27228	24632
472,78494	27633
473,29767	30890
473,81039	34204
474,32315	37591
474,83594	41346
475,34872	45112
475,86157	48811
476,37442	52375
476,8873	55560
477,40018	58263
477,91312	60671
478,42606	62315
478,93903	63276
479,45203	63643
479,96506	63028
480,47812	61814
480,99118	59817
481,50427	57179
482,0174	54047
482,53055	50360
483,0437	46448
