Date and Time:                Fri May 23 20:38:16.507 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	387
285,25876	376
285,76248	371
286,26624	384
286,77002	398
287,2738	399
287,77762	398
288,28146	393
288,78531	396
289,28922	383
289,79312	396
290,29706	392
290,80103	418
291,30502	383
291,80902	391
292,31308	396
292,81714	425
293,32123	399
293,82532	413
294,32947	410
294,83362	417
295,3378	425
295,84201	432
296,34625	404
296,85049	435
297,35477	443
297,85907	442
298,3634	448
298,86777	413
299,37213	431
299,87656	446
300,38098	452
300,88541	460
301,38989	441
301,89441	485
302,39893	435
302,90347	463
303,40805	498
303,91263	466
304,41727	462
304,92191	459
305,42657	476
305,93127	467
306,43597	474
306,94073	484
307,4455	489
307,95029	482
308,45511	481
308,95993	483
309,46481	485
309,9697	520
310,47461	522
310,97955	499
311,4845	516
311,9895	516
312,49451	519
312,99954	529
313,50461	494
314,00967	535
314,5148	518
315,01993	527
315,52509	541
316,03027	537
316,53546	543
317,04071	532
317,54596	545
318,05124	555
318,55655	576
319,06186	566
319,56723	549
320,0726	589
320,578	564
321,08344	550
321,58887	571
322,09433	575
322,59985	580
323,10538	584
323,6109	584
324,11649	573
324,62207	567
325,12769	579
325,63333	613
326,13901	595
326,64471	607
327,15042	585
327,65616	584
328,16193	606
328,66772	601
329,17352	625
329,67938	621
330,18524	612
330,69113	594
331,19702	616
331,70297	608
332,20892	610
332,7149	635
333,22092	639
333,72696	622
334,233	606
334,73911	619
335,24521	629
335,75134	622
336,25748	643
336,76367	640
337,26987	630
337,77609	640
338,28235	655
338,78864	645
339,29492	634
339,80127	650
340,30762	641
340,814	650
341,32037	636
341,82681	657
342,33325	641
342,83972	648
343,34622	670
343,85275	656
344,35928	661
344,86584	660
345,37247	636
345,87906	683
346,38571	679
346,89236	650
347,39908	643
347,90579	667
348,41254	640
348,91928	645
349,42609	653
349,93289	670
350,43973	667
350,94659	688
351,45349	692
351,96039	662
352,46732	669
352,97427	666
353,48126	666
353,98828	657
354,4953	670
355,00235	699
355,50943	687
356,01654	694
356,52368	695
357,03082	693
357,53799	714
358,0452	706
358,55243	698
359,05969	738
359,56696	746
360,07428	735
360,5816	764
361,08893	782
361,59631	778
362,1037	786
362,61115	818
363,11859	825
363,62604	866
364,13354	872
364,64105	860
365,14859	870
365,65616	866
366,16376	904
366,67139	869
367,17902	843
367,68668	820
368,19437	811
368,70209	770
369,20984	764
369,71759	740
370,22537	727
370,73318	691
371,24103	685
371,7489	669
372,25677	645
372,76468	630
373,27261	640
373,78058	645
374,28854	623
374,79657	641
375,3046	596
375,81265	592
376,32071	618
376,82883	580
377,33694	587
377,84509	587
378,35327	593
378,86148	608
379,36972	581
379,87796	583
380,38623	582
380,89453	584
381,40286	584
381,91119	576
382,41959	576
382,92798	555
383,4364	576
383,94482	568
384,45331	564
384,96179	570
385,47031	568
385,97885	564
386,48743	568
386,996	564
387,50464	569
388,01328	562
388,52194	548
389,03061	558
389,53934	545
390,04807	558
390,55682	548
391,06561	555
391,57443	554
392,08325	562
392,59213	566
393,10101	530
393,60989	525
394,11884	538
394,62781	534
395,13678	527
395,64578	522
396,15482	533
396,66385	514
397,17294	506
397,68204	507
398,19116	529
398,70032	511
399,2095	520
399,71869	515
400,22791	507
400,73715	508
401,24643	498
401,75574	509
402,26505	501
402,77441	509
403,28378	501
403,79318	491
404,30258	488
404,81204	460
405,3215	495
405,83099	506
406,34052	474
406,85004	500
407,35962	476
407,8692	468
408,37881	467
408,88846	472
409,3981	454
409,90781	466
410,41751	467
410,92725	473
411,43701	451
411,94678	480
412,4566	465
412,96643	447
413,47629	431
413,98618	441
414,49606	433
415,00601	449
415,51596	439
416,02594	458
416,53595	454
417,04596	443
417,55603	443
418,0661	438
418,5762	430
419,08633	437
419,59647	431
420,10663	427
420,61685	435
421,12708	445
421,6373	441
422,14758	440
422,65787	417
423,16818	423
423,67853	436
424,1889	450
424,69931	421
425,20972	461
425,72015	440
426,23062	446
426,74112	446
427,25162	465
427,76218	452
428,27274	457
428,78333	437
429,29395	439
429,80457	471
430,31522	489
430,82593	486
431,33661	478
431,84735	487
432,35812	493
432,8689	505
433,3797	514
433,89053	521
434,4014	541
434,91226	541
435,42319	549
435,93411	546
436,44507	569
436,95602	558
437,46704	575
437,97806	547
438,48911	549
439,00018	552
439,51129	582
440,0224	584
440,53357	569
441,04474	560
441,55594	582
442,06714	566
442,5784	542
443,08966	536
443,60095	554
444,11227	546
444,62363	541
445,13498	551
445,64636	549
446,15778	555
446,66922	537
447,18069	540
447,69217	510
448,2037	533
448,71524	546
449,22681	526
449,73837	510
450,25	543
450,76163	542
451,27328	599
451,78497	565
452,29666	583
452,80841	616
453,32016	677
453,83194	693
454,34375	754
454,85559	785
455,36743	823
455,8793	857
456,3912	975
456,90314	1077
457,4151	1152
457,92706	1293
458,43906	1443
458,95108	1613
459,46313	1819
459,97522	2019
460,4873	2337
460,99942	2560
461,51157	2909
462,02374	3280
462,53595	3695
463,04816	4169
463,56039	4709
464,07266	5341
464,58496	5900
465,09729	6597
465,60962	7332
466,12198	8156
466,63437	8980
467,14679	9902
467,65924	10989
468,17169	12131
468,68417	13511
469,19669	14988
469,70923	16742
470,2218	18679
470,73438	20845
471,24698	23449
471,75961	26482
472,27228	29896
472,78494	33551
473,29767	37755
473,81039	42362
474,32315	46919
474,83594	52170
475,34872	57476
475,86157	62638
476,37442	67723
476,8873	72667
477,40018	76888
477,91312	80741
478,42606	83572
478,93903	85424
479,45203	86378
479,96506	86315
480,47812	85179
480,99118	83397
481,50427	80261
482,0174	76734
482,53055	72327
483,0437	67399
