Date and Time:                Fri May 23 18:42:33.322 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-3
285,25876	9
285,76248	2
286,26624	1
286,77002	0
287,2738	-1
287,77762	3
288,28146	4
288,78531	3
289,28922	1
289,79312	-5
290,29706	1
290,80103	6
291,30502	2
291,80902	3
292,31308	6
292,81714	2
293,32123	2
293,82532	3
294,32947	-3
294,83362	5
295,3378	0
295,84201	1
296,34625	9
296,85049	-6
297,35477	-2
297,85907	5
298,3634	2
298,86777	3
299,37213	1
299,87656	-2
300,38098	1
300,88541	3
301,38989	-2
301,89441	3
302,39893	1
302,90347	4
303,40805	8
303,91263	5
304,41727	5
304,92191	2
305,42657	-3
305,93127	-6
306,43597	-1
306,94073	3
307,4455	5
307,95029	1
308,45511	1
308,95993	8
309,46481	3
309,9697	8
310,47461	5
310,97955	0
311,4845	8
311,9895	-3
312,49451	1
312,99954	1
313,50461	1
314,00967	2
314,5148	2
315,01993	-3
315,52509	2
316,03027	-2
316,53546	-2
317,04071	1
317,54596	0
318,05124	-5
318,55655	5
319,06186	1
319,56723	5
320,0726	4
320,578	-2
321,08344	-2
321,58887	-1
322,09433	0
322,59985	7
323,10538	6
323,6109	7
324,11649	1
324,62207	1
325,12769	6
325,63333	6
326,13901	0
326,64471	3
327,15042	-8
327,65616	1
328,16193	5
328,66772	4
329,17352	8
329,67938	7
330,18524	5
330,69113	5
331,19702	-3
331,70297	1
332,20892	5
332,7149	1
333,22092	-2
333,72696	2
334,233	1
334,73911	3
335,24521	5
335,75134	-1
336,25748	3
336,76367	8
337,26987	-5
337,77609	0
338,28235	4
338,78864	-2
339,29492	5
339,80127	0
340,30762	9
340,814	5
341,32037	3
341,82681	-3
342,33325	-3
342,83972	4
343,34622	-3
343,85275	5
344,35928	7
344,86584	2
345,37247	7
345,87906	7
346,38571	3
346,89236	7
347,39908	-1
347,90579	4
348,41254	12
348,91928	1
349,42609	3
349,93289	-1
350,43973	6
350,94659	-5
351,45349	-2
351,96039	9
352,46732	3
352,97427	-3
353,48126	9
353,98828	6
354,4953	1
355,00235	1
355,50943	11
356,01654	3
356,52368	1
357,03082	8
357,53799	-5
358,0452	-1
358,55243	4
359,05969	1
359,56696	9
360,07428	2
360,5816	0
361,08893	4
361,59631	6
362,1037	2
362,61115	-2
363,11859	2
363,62604	-2
364,13354	-1
364,64105	-7
365,14859	3
365,65616	6
366,16376	-1
366,67139	3
367,17902	3
367,68668	15
368,19437	1
368,70209	8
369,20984	3
369,71759	6
370,22537	0
370,73318	-1
371,24103	2
371,7489	-1
372,25677	2
372,76468	9
373,27261	2
373,78058	8
374,28854	-4
374,79657	9
375,3046	8
375,81265	0
376,32071	4
376,82883	5
377,33694	1
377,84509	6
378,35327	16
378,86148	-1
379,36972	6
379,87796	4
380,38623	8
380,89453	-1
381,40286	2
381,91119	0
382,41959	4
382,92798	3
383,4364	9
383,94482	10
384,45331	2
384,96179	-9
385,47031	10
385,97885	5
386,48743	7
386,996	2
387,50464	3
388,01328	-1
388,52194	5
389,03061	5
389,53934	11
390,04807	5
390,55682	7
391,06561	8
391,57443	-2
392,08325	1
392,59213	6
393,10101	-6
393,60989	9
394,11884	8
394,62781	-1
395,13678	-1
395,64578	8
396,15482	6
396,66385	12
397,17294	0
397,68204	3
398,19116	10
398,70032	3
399,2095	5
399,71869	6
400,22791	10
400,73715	12
401,24643	-4
401,75574	17
402,26505	2
402,77441	1
403,28378	8
403,79318	5
404,30258	6
404,81204	3
405,3215	6
405,83099	12
406,34052	4
406,85004	7
407,35962	9
407,8692	8
408,37881	10
408,88846	8
409,3981	3
409,90781	7
410,41751	12
410,92725	7
411,43701	6
411,94678	9
412,4566	5
412,96643	15
413,47629	7
413,98618	8
414,49606	8
415,00601	12
415,51596	6
416,02594	13
416,53595	6
417,04596	18
417,55603	15
418,0661	13
418,5762	8
419,08633	7
419,59647	6
420,10663	16
420,61685	9
421,12708	3
421,6373	14
422,14758	10
422,65787	14
423,16818	17
423,67853	12
424,1889	11
424,69931	16
425,20972	15
425,72015	20
426,23062	10
426,74112	24
427,25162	24
427,76218	19
428,27274	23
428,78333	20
429,29395	20
429,80457	24
430,31522	21
430,82593	18
431,33661	25
431,84735	33
432,35812	21
432,8689	35
433,3797	15
433,89053	19
434,4014	42
434,91226	18
435,42319	24
435,93411	26
436,44507	36
436,95602	42
437,46704	35
437,97806	30
438,48911	32
439,00018	37
439,51129	40
440,0224	67
440,53357	47
441,04474	54
441,55594	57
442,06714	65
442,5784	67
443,08966	47
443,60095	55
444,11227	72
444,62363	95
445,13498	43
445,64636	107
446,15778	64
446,66922	59
447,18069	105
447,69217	112
448,2037	51
448,71524	123
449,22681	124
449,73837	95
450,25	121
450,76163	92
451,27328	79
451,78497	105
452,29666	101
452,80841	107
453,32016	129
453,83194	109
454,34375	100
454,85559	111
455,36743	133
455,8793	133
456,3912	133
456,90314	156
457,4151	133
457,92706	128
458,43906	152
458,95108	178
459,46313	157
459,97522	166
460,4873	209
460,99942	235
461,51157	260
462,02374	245
462,53595	296
463,04816	356
463,56039	361
464,07266	407
464,58496	483
465,09729	520
465,60962	563
466,12198	649
466,63437	751
467,14679	820
467,65924	932
468,17169	1044
468,68417	1169
469,19669	1303
469,70923	1396
470,2218	1521
470,73438	1590
471,24698	1687
471,75961	1775
472,27228	1872
472,78494	1926
473,29767	1980
473,81039	2050
474,32315	2066
474,83594	2077
475,34872	2092
475,86157	2057
476,37442	2005
476,8873	1914
477,40018	1833
477,91312	1752
478,42606	1652
478,93903	1562
479,45203	1410
479,96506	1291
480,47812	1147
480,99118	1048
481,50427	929
