Date and Time:                Fri May 23 20:55:29.478 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,07
Accumulate Cycle Time (secs): 0,07
Frequency (Hz):               14,286
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	260
285,25876	244
285,76248	233
286,26624	244
286,77002	258
287,2738	221
287,77762	234
288,28146	244
288,78531	244
289,28922	235
289,79312	250
290,29706	251
290,80103	242
291,30502	254
291,80902	250
292,31308	272
292,81714	247
293,32123	263
293,82532	273
294,32947	265
294,83362	268
295,3378	250
295,84201	262
296,34625	263
296,85049	286
297,35477	235
297,85907	272
298,3634	267
298,86777	269
299,37213	258
299,87656	255
300,38098	276
300,88541	273
301,38989	258
301,89441	276
302,39893	268
302,90347	270
303,40805	273
303,91263	261
304,41727	243
304,92191	278
305,42657	295
305,93127	263
306,43597	268
306,94073	258
307,4455	280
307,95029	276
308,45511	274
308,95993	282
309,46481	284
309,9697	291
310,47461	302
310,97955	287
311,4845	274
311,9895	288
312,49451	300
312,99954	297
313,50461	298
314,00967	301
314,5148	290
315,01993	298
315,52509	307
316,03027	288
316,53546	315
317,04071	299
317,54596	305
318,05124	319
318,55655	307
319,06186	300
319,56723	321
320,0726	330
320,578	311
321,08344	315
321,58887	316
322,09433	331
322,59985	347
323,10538	314
323,6109	316
324,11649	342
324,62207	318
325,12769	336
325,63333	305
326,13901	340
326,64471	348
327,15042	343
327,65616	322
328,16193	350
328,66772	331
329,17352	340
329,67938	371
330,18524	332
330,69113	371
331,19702	360
331,70297	352
332,20892	376
332,7149	333
333,22092	352
333,72696	378
334,233	383
334,73911	369
335,24521	378
335,75134	373
336,25748	365
336,76367	384
337,26987	367
337,77609	393
338,28235	389
338,78864	408
339,29492	385
339,80127	409
340,30762	399
340,814	414
341,32037	407
341,82681	389
342,33325	406
342,83972	413
343,34622	388
343,85275	410
344,35928	391
344,86584	421
345,37247	429
345,87906	419
346,38571	432
346,89236	405
347,39908	441
347,90579	422
348,41254	431
348,91928	421
349,42609	440
349,93289	424
350,43973	426
350,94659	424
351,45349	425
351,96039	428
352,46732	431
352,97427	449
353,48126	442
353,98828	454
354,4953	437
355,00235	435
355,50943	449
356,01654	464
356,52368	450
357,03082	455
357,53799	442
358,0452	431
358,55243	461
359,05969	466
359,56696	460
360,07428	449
360,5816	469
361,08893	458
361,59631	441
362,1037	450
362,61115	444
363,11859	437
363,62604	470
364,13354	451
364,64105	449
365,14859	481
365,65616	453
366,16376	441
366,67139	445
367,17902	454
367,68668	439
368,19437	451
368,70209	420
369,20984	432
369,71759	447
370,22537	444
370,73318	435
371,24103	443
371,7489	459
372,25677	441
372,76468	437
373,27261	448
373,78058	429
374,28854	440
374,79657	430
375,3046	409
375,81265	429
376,32071	449
376,82883	438
377,33694	424
377,84509	437
378,35327	435
378,86148	418
379,36972	408
379,87796	428
380,38623	425
380,89453	435
381,40286	419
381,91119	423
382,41959	415
382,92798	397
383,4364	394
383,94482	444
384,45331	408
384,96179	410
385,47031	414
385,97885	411
386,48743	415
386,996	409
387,50464	409
388,01328	412
388,52194	384
389,03061	378
389,53934	413
390,04807	397
390,55682	407
391,06561	403
391,57443	412
392,08325	384
392,59213	386
393,10101	375
393,60989	394
394,11884	370
394,62781	372
395,13678	384
395,64578	382
396,15482	383
396,66385	357
397,17294	354
397,68204	360
398,19116	358
398,70032	358
399,2095	347
399,71869	337
400,22791	358
400,73715	361
401,24643	324
401,75574	346
402,26505	346
402,77441	345
403,28378	365
403,79318	336
404,30258	354
404,81204	325
405,3215	321
405,83099	344
406,34052	352
406,85004	331
407,35962	342
407,8692	342
408,37881	314
408,88846	326
409,3981	331
409,90781	313
410,41751	312
410,92725	312
411,43701	327
411,94678	324
412,4566	305
412,96643	335
413,47629	296
413,98618	314
414,49606	319
415,00601	309
415,51596	318
416,02594	297
416,53595	305
417,04596	310
417,55603	275
418,0661	295
418,5762	312
419,08633	280
419,59647	282
420,10663	285
420,61685	295
421,12708	274
421,6373	310
422,14758	298
422,65787	288
423,16818	281
423,67853	275
424,1889	291
424,69931	306
425,20972	275
425,72015	282
426,23062	289
426,74112	269
427,25162	284
427,76218	280
428,27274	269
428,78333	287
429,29395	284
429,80457	286
430,31522	289
430,82593	283
431,33661	319
431,84735	301
432,35812	285
432,8689	289
433,3797	291
433,89053	305
434,4014	285
434,91226	294
435,42319	289
435,93411	287
436,44507	285
436,95602	284
437,46704	293
437,97806	290
438,48911	281
439,00018	289
439,51129	286
440,0224	291
440,53357	304
441,04474	287
441,55594	305
442,06714	285
442,5784	286
443,08966	298
443,60095	296
444,11227	280
444,62363	301
445,13498	306
445,64636	308
446,15778	285
446,66922	298
447,18069	298
447,69217	288
448,2037	292
448,71524	309
449,22681	334
449,73837	310
450,25	342
450,76163	331
451,27328	384
451,78497	365
452,29666	399
452,80841	436
453,32016	465
453,83194	487
454,34375	528
454,85559	590
455,36743	655
455,8793	688
456,3912	784
456,90314	900
457,4151	979
457,92706	1102
458,43906	1256
458,95108	1443
459,46313	1618
459,97522	1823
460,4873	2101
460,99942	2392
461,51157	2754
462,02374	3130
462,53595	3555
463,04816	4062
463,56039	4655
464,07266	5381
464,58496	6185
465,09729	7134
465,60962	8123
466,12198	9332
466,63437	10713
467,14679	12207
467,65924	13836
468,17169	15594
468,68417	17534
469,19669	19548
469,70923	21539
470,2218	23612
470,73438	25687
471,24698	27618
471,75961	29295
472,27228	30743
472,78494	32171
473,29767	33061
473,81039	33665
474,32315	34047
474,83594	33995
475,34872	33660
475,86157	33152
476,37442	32265
476,8873	30949
477,40018	29277
477,91312	27551
478,42606	25677
478,93903	23840
479,45203	21933
479,96506	20019
480,47812	18089
480,99118	16092
481,50427	14165
482,0174	12532
482,53055	10984
483,0437	9594
