Date and Time:                Fri May 23 20:35:24.790 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	5
285,25876	2
285,76248	23
286,26624	12
286,77002	14
287,2738	8
287,77762	9
288,28146	12
288,78531	4
289,28922	-2
289,79312	-2
290,29706	24
290,80103	13
291,30502	6
291,80902	12
292,31308	30
292,81714	6
293,32123	5
293,82532	1
294,32947	14
294,83362	13
295,3378	21
295,84201	16
296,34625	6
296,85049	21
297,35477	11
297,85907	9
298,3634	7
298,86777	4
299,37213	14
299,87656	4
300,38098	0
300,88541	3
301,38989	7
301,89441	6
302,39893	13
302,90347	-6
303,40805	15
303,91263	7
304,41727	46
304,92191	18
305,42657	19
305,93127	7
306,43597	2
306,94073	-3
307,4455	21
307,95029	17
308,45511	15
308,95993	12
309,46481	-10
309,9697	14
310,47461	38
310,97955	11
311,4845	1
311,9895	3
312,49451	6
312,99954	22
313,50461	9
314,00967	27
314,5148	21
315,01993	3
315,52509	15
316,03027	12
316,53546	6
317,04071	26
317,54596	12
318,05124	34
318,55655	17
319,06186	4
319,56723	7
320,0726	-6
320,578	4
321,08344	8
321,58887	13
322,09433	27
322,59985	17
323,10538	0
323,6109	31
324,11649	9
324,62207	1
325,12769	10
325,63333	3
326,13901	12
326,64471	12
327,15042	30
327,65616	5
328,16193	15
328,66772	18
329,17352	-7
329,67938	20
330,18524	16
330,69113	29
331,19702	-4
331,70297	16
332,20892	4
332,7149	10
333,22092	13
333,72696	12
334,233	26
334,73911	21
335,24521	0
335,75134	7
336,25748	0
336,76367	13
337,26987	2
337,77609	17
338,28235	2
338,78864	11
339,29492	9
339,80127	24
340,30762	25
340,814	12
341,32037	7
341,82681	7
342,33325	21
342,83972	17
343,34622	13
343,85275	21
344,35928	33
344,86584	-11
345,37247	8
345,87906	28
346,38571	26
346,89236	-7
347,39908	22
347,90579	-2
348,41254	20
348,91928	-3
349,42609	1
349,93289	15
350,43973	20
350,94659	16
351,45349	31
351,96039	16
352,46732	18
352,97427	5
353,48126	12
353,98828	6
354,4953	19
355,00235	2
355,50943	23
356,01654	16
356,52368	10
357,03082	5
357,53799	7
358,0452	37
358,55243	12
359,05969	36
359,56696	20
360,07428	15
360,5816	-4
361,08893	22
361,59631	19
362,1037	23
362,61115	6
363,11859	2
363,62604	26
364,13354	17
364,64105	23
365,14859	10
365,65616	23
366,16376	18
366,67139	-3
367,17902	17
367,68668	9
368,19437	29
368,70209	30
369,20984	13
369,71759	19
370,22537	12
370,73318	33
371,24103	-1
371,7489	0
372,25677	24
372,76468	19
373,27261	17
373,78058	7
374,28854	34
374,79657	-10
375,3046	9
375,81265	-3
376,32071	6
376,82883	9
377,33694	15
377,84509	8
378,35327	11
378,86148	1
379,36972	12
379,87796	16
380,38623	1
380,89453	11
381,40286	25
381,91119	12
382,41959	10
382,92798	5
383,4364	-2
383,94482	17
384,45331	21
384,96179	11
385,47031	20
385,97885	9
386,48743	14
386,996	-1
387,50464	11
388,01328	17
388,52194	-10
389,03061	24
389,53934	32
390,04807	-5
390,55682	29
391,06561	-5
391,57443	29
392,08325	-1
392,59213	37
393,10101	-1
393,60989	11
394,11884	2
394,62781	26
395,13678	17
395,64578	4
396,15482	18
396,66385	-6
397,17294	4
397,68204	17
398,19116	29
398,70032	16
399,2095	-6
399,71869	5
400,22791	-10
400,73715	11
401,24643	16
401,75574	25
402,26505	-4
402,77441	-11
403,28378	-11
403,79318	13
404,30258	13
404,81204	26
405,3215	-4
405,83099	1
406,34052	23
406,85004	5
407,35962	-4
407,8692	5
408,37881	-16
408,88846	7
409,3981	-7
409,90781	5
410,41751	22
410,92725	0
411,43701	2
411,94678	7
412,4566	28
412,96643	-7
413,47629	-3
413,98618	4
414,49606	8
415,00601	-1
415,51596	7
416,02594	16
416,53595	15
417,04596	28
417,55603	21
418,0661	-5
418,5762	-4
419,08633	17
419,59647	9
420,10663	24
420,61685	8
421,12708	4
421,6373	21
422,14758	5
422,65787	14
423,16818	25
423,67853	6
424,1889	10
424,69931	7
425,20972	-6
425,72015	-10
426,23062	5
426,74112	22
427,25162	0
427,76218	-3
428,27274	2
428,78333	11
429,29395	-5
429,80457	4
430,31522	5
430,82593	3
431,33661	14
431,84735	0
432,35812	13
432,8689	-9
433,3797	6
433,89053	19
434,4014	17
434,91226	7
435,42319	3
435,93411	10
436,44507	-1
436,95602	14
437,46704	4
437,97806	9
438,48911	-4
439,00018	-5
439,51129	9
440,0224	-4
440,53357	-7
441,04474	3
441,55594	5
442,06714	11
442,5784	14
443,08966	4
443,60095	-1
444,11227	13
444,62363	14
445,13498	15
445,64636	-1
446,15778	11
446,66922	11
447,18069	-1
447,69217	-6
448,2037	27
448,71524	16
449,22681	20
449,73837	-12
450,25	17
450,76163	4
451,27328	-2
451,78497	5
452,29666	3
452,80841	-4
453,32016	11
453,83194	20
454,34375	28
454,85559	27
455,36743	33
455,8793	8
456,3912	9
456,90314	-11
457,4151	28
457,92706	18
458,43906	13
458,95108	14
459,46313	35
459,97522	24
460,4873	23
460,99942	20
461,51157	14
462,02374	16
462,53595	33
463,04816	31
463,56039	53
464,07266	35
464,58496	42
465,09729	55
465,60962	58
466,12198	71
466,63437	64
467,14679	86
467,65924	86
468,17169	95
468,68417	111
469,19669	103
469,70923	142
470,2218	142
470,73438	157
471,24698	181
471,75961	205
472,27228	212
472,78494	243
473,29767	259
473,81039	297
474,32315	350
474,83594	365
475,34872	377
475,86157	413
476,37442	455
476,8873	465
477,40018	500
477,91312	521
478,42606	520
478,93903	528
479,45203	535
479,96506	516
480,47812	520
480,99118	473
481,50427	453
482,0174	422
482,53055	400
483,0437	361
