Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	14
285,25876	13
285,76248	30
286,26624	25
286,77002	35
287,2738	14
287,77762	18
288,28146	26
288,78531	47
289,28922	30
289,79312	25
290,29706	26
290,80103	20
291,30502	26
291,80902	26
292,31308	37
292,81714	21
293,32123	44
293,82532	4
294,32947	26
294,83362	27
295,3378	18
295,84201	11
296,34625	27
296,85049	6
297,35477	21
297,85907	28
298,3634	14
298,86777	24
299,37213	40
299,87656	13
300,38098	11
300,88541	20
301,38989	18
301,89441	16
302,39893	39
302,90347	34
303,40805	44
303,91263	18
304,41727	32
304,92191	18
305,42657	42
305,93127	28
306,43597	24
306,94073	30
307,4455	17
307,95029	31
308,45511	26
308,95993	30
309,46481	46
309,9697	17
310,47461	43
310,97955	35
311,4845	17
311,9895	34
312,49451	33
312,99954	17
313,50461	53
314,00967	37
314,5148	32
315,01993	17
315,52509	33
316,03027	26
316,53546	31
317,04071	19
317,54596	25
318,05124	21
318,55655	39
319,06186	33
319,56723	27
320,0726	33
320,578	32
321,08344	36
321,58887	15
322,09433	24
322,59985	-3
323,10538	44
323,6109	14
324,11649	32
324,62207	37
325,12769	23
325,63333	43
326,13901	30
326,64471	35
327,15042	28
327,65616	31
328,16193	37
328,66772	26
329,17352	29
329,67938	25
330,18524	45
330,69113	27
331,19702	39
331,70297	23
332,20892	23
332,7149	39
333,22092	23
333,72696	21
334,233	31
334,73911	13
335,24521	44
335,75134	37
336,25748	26
336,76367	38
337,26987	31
337,77609	55
338,28235	38
338,78864	38
339,29492	41
339,80127	27
340,30762	32
340,814	9
341,32037	24
341,82681	26
342,33325	36
342,83972	19
343,34622	26
343,85275	47
344,35928	47
344,86584	51
345,37247	24
345,87906	34
346,38571	36
346,89236	20
347,39908	36
347,90579	35
348,41254	37
348,91928	40
349,42609	47
349,93289	18
350,43973	33
350,94659	25
351,45349	23
351,96039	46
352,46732	35
352,97427	50
353,48126	35
353,98828	37
354,4953	26
355,00235	29
355,50943	26
356,01654	17
356,52368	18
357,03082	28
357,53799	30
358,0452	60
358,55243	31
359,05969	28
359,56696	24
360,07428	37
360,5816	37
361,08893	16
361,59631	36
362,1037	39
362,61115	23
363,11859	35
363,62604	41
364,13354	24
364,64105	20
365,14859	33
365,65616	4
366,16376	29
366,67139	43
367,17902	39
367,68668	32
368,19437	35
368,70209	31
369,20984	18
369,71759	28
370,22537	27
370,73318	61
371,24103	33
371,7489	39
372,25677	23
372,76468	26
373,27261	20
373,78058	22
374,28854	42
374,79657	39
375,3046	8
375,81265	34
376,32071	39
376,82883	52
377,33694	40
377,84509	20
378,35327	20
378,86148	34
379,36972	15
379,87796	13
380,38623	27
380,89453	41
381,40286	30
381,91119	25
382,41959	30
382,92798	30
383,4364	21
383,94482	45
384,45331	19
384,96179	32
385,47031	41
385,97885	51
386,48743	21
386,996	44
387,50464	37
388,01328	2
388,52194	15
389,03061	22
389,53934	38
390,04807	29
390,55682	40
391,06561	29
391,57443	19
392,08325	38
392,59213	35
393,10101	25
393,60989	24
394,11884	8
394,62781	32
395,13678	39
395,64578	21
396,15482	24
396,66385	13
397,17294	23
397,68204	32
398,19116	27
398,70032	19
399,2095	21
399,71869	31
400,22791	36
400,73715	20
401,24643	23
401,75574	27
402,26505	37
402,77441	7
403,28378	24
403,79318	21
404,30258	33
404,81204	18
405,3215	25
405,83099	20
406,34052	21
406,85004	29
407,35962	7
407,8692	28
408,37881	14
408,88846	19
409,3981	38
409,90781	31
410,41751	15
410,92725	32
411,43701	35
411,94678	20
412,4566	22
412,96643	13
413,47629	29
413,98618	19
414,49606	39
415,00601	17
415,51596	25
416,02594	41
416,53595	34
417,04596	31
417,55603	23
418,0661	38
418,5762	-3
419,08633	14
419,59647	25
420,10663	23
420,61685	32
421,12708	21
421,6373	22
422,14758	18
422,65787	11
423,16818	27
423,67853	45
424,1889	33
424,69931	35
425,20972	18
425,72015	19
426,23062	35
426,74112	34
427,25162	23
427,76218	19
428,27274	9
428,78333	23
429,29395	14
429,80457	12
430,31522	30
430,82593	18
431,33661	18
431,84735	41
432,35812	17
432,8689	16
433,3797	29
433,89053	29
434,4014	19
434,91226	31
435,42319	31
435,93411	34
436,44507	19
436,95602	40
437,46704	31
437,97806	15
438,48911	29
439,00018	19
439,51129	26
440,0224	22
440,53357	28
441,04474	30
441,55594	21
442,06714	30
442,5784	13
443,08966	7
443,60095	5
444,11227	22
444,62363	26
445,13498	27
445,64636	13
446,15778	25
446,66922	18
447,18069	20
447,69217	25
448,2037	17
448,71524	7
449,22681	23
449,73837	21
450,25	30
450,76163	12
451,27328	33
451,78497	33
452,29666	33
452,80841	19
453,32016	19
453,83194	37
454,34375	16
454,85559	17
455,36743	37
455,8793	38
456,3912	25
456,90314	29
457,4151	35
457,92706	34
458,43906	30
458,95108	25
459,46313	26
459,97522	24
460,4873	39
460,99942	47
461,51157	31
462,02374	38
462,53595	40
463,04816	48
463,56039	51
464,07266	64
464,58496	86
465,09729	83
465,60962	79
466,12198	89
466,63437	108
467,14679	111
467,65924	113
468,17169	141
468,68417	137
469,19669	176
469,70923	168
470,2218	217
470,73438	211
471,24698	256
471,75961	277
472,27228	317
472,78494	358
473,29767	371
473,81039	438
474,32315	454
474,83594	495
475,34872	545
475,86157	608
476,37442	662
476,8873	686
477,40018	700
477,91312	762
478,42606	772
478,93903	783
479,45203	781
479,96506	797
480,47812	794
480,99118	737
481,50427	734
482,0174	701
482,53055	646
483,0437	628
483,55692	534
484,07013	525
484,58337	426
485,09662	418
485,60992	363
486,12323	332
486,63657	282
