Date and Time:                Thu May 22 17:05:28.336 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	4
285,25876	1
285,76248	-5
286,26624	1
286,77002	-2
287,2738	3
287,77762	6
288,28146	1
288,78531	-1
289,28922	-5
289,79312	-2
290,29706	4
290,80103	-2
291,30502	-1
291,80902	1
292,31308	3
292,81714	7
293,32123	-4
293,82532	1
294,32947	8
294,83362	-4
295,3378	0
295,84201	4
296,34625	-5
296,85049	6
297,35477	-3
297,85907	1
298,3634	-4
298,86777	-5
299,37213	-1
299,87656	1
300,38098	-3
300,88541	12
301,38989	-3
301,89441	3
302,39893	2
302,90347	7
303,40805	-1
303,91263	2
304,41727	-1
304,92191	1
305,42657	-1
305,93127	2
306,43597	2
306,94073	1
307,4455	1
307,95029	-5
308,45511	7
308,95993	-7
309,46481	0
309,9697	-7
310,47461	-3
310,97955	0
311,4845	1
311,9895	3
312,49451	-1
312,99954	4
313,50461	-9
314,00967	0
314,5148	0
315,01993	6
315,52509	-3
316,03027	-5
316,53546	6
317,04071	1
317,54596	5
318,05124	1
318,55655	-3
319,06186	-1
319,56723	0
320,0726	2
320,578	-1
321,08344	3
321,58887	6
322,09433	-8
322,59985	4
323,10538	1
323,6109	-1
324,11649	1
324,62207	-4
325,12769	1
325,63333	1
326,13901	2
326,64471	3
327,15042	2
327,65616	3
328,16193	-2
328,66772	-2
329,17352	3
329,67938	2
330,18524	-2
330,69113	6
331,19702	4
331,70297	3
332,20892	-1
332,7149	6
333,22092	-3
333,72696	1
334,233	0
334,73911	2
335,24521	-3
335,75134	6
336,25748	5
336,76367	6
337,26987	2
337,77609	-9
338,28235	11
338,78864	0
339,29492	-9
339,80127	7
340,30762	-6
340,814	7
341,32037	6
341,82681	6
342,33325	-3
342,83972	-3
343,34622	-2
343,85275	4
344,35928	-2
344,86584	4
345,37247	-6
345,87906	-4
346,38571	6
346,89236	-2
347,39908	4
347,90579	2
348,41254	-2
348,91928	2
349,42609	2
349,93289	-1
350,43973	-3
350,94659	2
351,45349	2
351,96039	-7
352,46732	-7
352,97427	1
353,48126	2
353,98828	-6
354,4953	2
355,00235	-3
355,50943	-7
356,01654	3
356,52368	9
357,03082	2
357,53799	-6
358,0452	3
358,55243	4
359,05969	-1
359,56696	6
360,07428	3
360,5816	-2
361,08893	-2
361,59631	-2
362,1037	-3
362,61115	-5
363,11859	0
363,62604	5
364,13354	-5
364,64105	-2
365,14859	-1
365,65616	-5
366,16376	2
366,67139	-3
367,17902	7
367,68668	-11
368,19437	-5
368,70209	-1
369,20984	-1
369,71759	-3
370,22537	-3
370,73318	-5
371,24103	4
371,7489	-5
372,25677	6
372,76468	-1
373,27261	0
373,78058	-3
374,28854	-1
374,79657	12
375,3046	-4
375,81265	5
376,32071	7
376,82883	-2
377,33694	-1
377,84509	1
378,35327	-6
378,86148	-3
379,36972	5
379,87796	-8
380,38623	0
380,89453	0
381,40286	-1
381,91119	-7
382,41959	-6
382,92798	4
383,4364	-2
383,94482	5
384,45331	3
384,96179	5
385,47031	0
385,97885	-4
386,48743	-1
386,996	8
387,50464	0
388,01328	-5
388,52194	4
389,03061	-3
389,53934	-2
390,04807	-3
390,55682	5
391,06561	5
391,57443	1
392,08325	1
392,59213	3
393,10101	-1
393,60989	7
394,11884	-6
394,62781	-5
395,13678	0
395,64578	3
396,15482	9
396,66385	1
397,17294	-1
397,68204	6
398,19116	-8
398,70032	-6
399,2095	0
399,71869	3
400,22791	-4
400,73715	-7
401,24643	-3
401,75574	-2
402,26505	1
402,77441	8
403,28378	-10
403,79318	5
404,30258	-3
404,81204	-2
405,3215	7
405,83099	6
406,34052	7
406,85004	1
407,35962	-13
407,8692	-4
408,37881	3
408,88846	-7
409,3981	4
409,90781	1
410,41751	2
410,92725	3
411,43701	3
411,94678	4
412,4566	4
412,96643	-2
413,47629	13
413,98618	1
414,49606	0
415,00601	0
415,51596	4
416,02594	0
416,53595	-3
417,04596	9
417,55603	-2
418,0661	-8
418,5762	-4
419,08633	0
419,59647	0
420,10663	-1
420,61685	0
421,12708	3
421,6373	-3
422,14758	-2
422,65787	2
423,16818	-8
423,67853	1
424,1889	3
424,69931	3
425,20972	-12
425,72015	-5
426,23062	1
426,74112	0
427,25162	-2
427,76218	13
428,27274	-6
428,78333	-4
429,29395	-4
429,80457	-18
430,31522	-11
430,82593	-9
431,33661	5
431,84735	5
432,35812	-15
432,8689	-4
433,3797	-8
433,89053	-6
434,4014	-10
434,91226	-21
435,42319	-4
435,93411	-10
436,44507	-3
436,95602	-26
437,46704	-10
437,97806	-20
438,48911	-32
439,00018	0
439,51129	-23
440,0224	-12
440,53357	-36
441,04474	1
441,55594	-31
442,06714	-21
442,5784	-33
443,08966	-36
443,60095	-36
444,11227	-16
444,62363	-23
445,13498	-57
445,64636	-67
446,15778	-41
446,66922	-68
447,18069	-49
447,69217	-21
448,2037	-35
448,71524	-62
449,22681	-78
449,73837	-77
450,25	-58
450,76163	-80
451,27328	-72
451,78497	-40
452,29666	-63
452,80841	-32
453,32016	-34
453,83194	-45
454,34375	-37
454,85559	-62
455,36743	-64
455,8793	-51
456,3912	-39
456,90314	-69
457,4151	-22
457,92706	-26
458,43906	-34
458,95108	-14
459,46313	-34
459,97522	-2
460,4873	36
460,99942	28
461,51157	9
462,02374	45
462,53595	83
463,04816	83
463,56039	102
464,07266	151
464,58496	179
465,09729	227
465,60962	297
466,12198	363
466,63437	435
467,14679	525
467,65924	623
468,17169	744
468,68417	835
469,19669	951
469,70923	1113
470,2218	1173
470,73438	1327
471,24698	1439
471,75961	1509
472,27228	1548
472,78494	1715
473,29767	1810
