Date and Time:                Thu May 22 18:31:35.761 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	1
285,25876	7
285,76248	-2
286,26624	5
286,77002	-3
287,2738	1
287,77762	0
288,28146	5
288,78531	3
289,28922	0
289,79312	-1
290,29706	3
290,80103	-1
291,30502	-1
291,80902	-1
292,31308	2
292,81714	8
293,32123	4
293,82532	5
294,32947	1
294,83362	1
295,3378	6
295,84201	-5
296,34625	2
296,85049	1
297,35477	2
297,85907	2
298,3634	0
298,86777	-3
299,37213	-1
299,87656	3
300,38098	1
300,88541	10
301,38989	-1
301,89441	4
302,39893	1
302,90347	3
303,40805	0
303,91263	0
304,41727	7
304,92191	2
305,42657	2
305,93127	3
306,43597	2
306,94073	2
307,4455	3
307,95029	-3
308,45511	0
308,95993	4
309,46481	-1
309,9697	1
310,47461	-9
310,97955	-1
311,4845	4
311,9895	-2
312,49451	2
312,99954	2
313,50461	-6
314,00967	4
314,5148	3
315,01993	4
315,52509	-8
316,03027	5
316,53546	10
317,04071	-1
317,54596	-3
318,05124	12
318,55655	7
319,06186	8
319,56723	8
320,0726	-1
320,578	-1
321,08344	-4
321,58887	4
322,09433	3
322,59985	2
323,10538	9
323,6109	5
324,11649	3
324,62207	4
325,12769	5
325,63333	-2
326,13901	-3
326,64471	0
327,15042	-1
327,65616	-2
328,16193	-2
328,66772	-6
329,17352	6
329,67938	0
330,18524	3
330,69113	-5
331,19702	0
331,70297	-4
332,20892	-5
332,7149	-3
333,22092	1
333,72696	-6
334,233	-1
334,73911	5
335,24521	1
335,75134	7
336,25748	2
336,76367	4
337,26987	3
337,77609	0
338,28235	6
338,78864	-8
339,29492	0
339,80127	6
340,30762	0
340,814	-2
341,32037	8
341,82681	-3
342,33325	-5
342,83972	-8
343,34622	-1
343,85275	6
344,35928	-2
344,86584	4
345,37247	-4
345,87906	-3
346,38571	-1
346,89236	-2
347,39908	3
347,90579	2
348,41254	2
348,91928	-5
349,42609	8
349,93289	-2
350,43973	1
350,94659	-5
351,45349	0
351,96039	0
352,46732	2
352,97427	-7
353,48126	11
353,98828	1
354,4953	-1
355,00235	1
355,50943	1
356,01654	-8
356,52368	-6
357,03082	4
357,53799	-4
358,0452	0
358,55243	10
359,05969	-4
359,56696	-1
360,07428	-1
360,5816	0
361,08893	-3
361,59631	-4
362,1037	1
362,61115	1
363,11859	6
363,62604	6
364,13354	0
364,64105	5
365,14859	2
365,65616	-4
366,16376	6
366,67139	2
367,17902	1
367,68668	10
368,19437	0
368,70209	0
369,20984	2
369,71759	-1
370,22537	6
370,73318	5
371,24103	9
371,7489	3
372,25677	-1
372,76468	2
373,27261	-2
373,78058	-3
374,28854	2
374,79657	-8
375,3046	3
375,81265	1
376,32071	0
376,82883	6
377,33694	-1
377,84509	1
378,35327	7
378,86148	-3
379,36972	0
379,87796	1
380,38623	8
380,89453	-4
381,40286	-4
381,91119	1
382,41959	0
382,92798	10
383,4364	-3
383,94482	2
384,45331	6
384,96179	3
385,47031	-5
385,97885	1
386,48743	2
386,996	-7
387,50464	13
388,01328	4
388,52194	0
389,03061	2
389,53934	0
390,04807	-4
390,55682	-3
391,06561	1
391,57443	-6
392,08325	3
392,59213	-5
393,10101	-9
393,60989	6
394,11884	5
394,62781	5
395,13678	1
395,64578	2
396,15482	7
396,66385	2
397,17294	-1
397,68204	4
398,19116	3
398,70032	4
399,2095	-3
399,71869	-3
400,22791	4
400,73715	-2
401,24643	-1
401,75574	-4
402,26505	4
402,77441	2
403,28378	-1
403,79318	1
404,30258	-5
404,81204	-5
405,3215	-5
405,83099	11
406,34052	0
406,85004	4
407,35962	5
407,8692	-1
408,37881	0
408,88846	-2
409,3981	3
409,90781	-1
410,41751	-4
410,92725	0
411,43701	2
411,94678	1
412,4566	6
412,96643	-4
413,47629	-5
413,98618	-2
414,49606	-6
415,00601	-4
415,51596	1
416,02594	3
416,53595	-4
417,04596	-2
417,55603	1
418,0661	2
418,5762	3
419,08633	5
419,59647	8
420,10663	3
420,61685	5
421,12708	5
421,6373	2
422,14758	4
422,65787	6
423,16818	1
423,67853	3
424,1889	0
424,69931	2
425,20972	1
425,72015	6
426,23062	0
426,74112	-9
427,25162	4
427,76218	3
428,27274	-5
428,78333	10
429,29395	9
429,80457	-3
430,31522	-3
430,82593	9
431,33661	8
431,84735	-8
432,35812	8
432,8689	2
433,3797	6
433,89053	10
434,4014	-3
434,91226	1
435,42319	8
435,93411	4
436,44507	5
436,95602	9
437,46704	6
437,97806	3
438,48911	-3
439,00018	6
439,51129	-4
440,0224	12
440,53357	4
441,04474	-1
441,55594	-2
442,06714	13
442,5784	-7
443,08966	-7
443,60095	-25
444,11227	24
444,62363	15
445,13498	-10
445,64636	0
446,15778	10
446,66922	4
447,18069	1
447,69217	22
448,2037	-4
448,71524	-4
449,22681	2
449,73837	-1
450,25	3
450,76163	-3
451,27328	22
451,78497	-5
452,29666	25
452,80841	-22
453,32016	34
453,83194	3
454,34375	-10
454,85559	15
455,36743	-3
455,8793	19
456,3912	9
456,90314	27
457,4151	53
457,92706	67
458,43906	78
458,95108	33
459,46313	60
459,97522	107
460,4873	64
460,99942	57
461,51157	90
462,02374	104
462,53595	126
463,04816	152
463,56039	174
464,07266	207
464,58496	218
465,09729	258
465,60962	336
466,12198	372
466,63437	444
467,14679	489
467,65924	554
468,17169	631
468,68417	721
469,19669	794
469,70923	872
470,2218	955
470,73438	1067
471,24698	1148
471,75961	1190
472,27228	1274
472,78494	1330
473,29767	1356
473,81039	1388
474,32315	1410
474,83594	1386
475,34872	1394
475,86157	1370
476,37442	1314
476,8873	1284
477,40018	1197
