Date and Time:                Fri May 23 18:04:32.042 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	8
285,25876	1
285,76248	0
286,26624	4
286,77002	-2
287,2738	0
287,77762	3
288,28146	-4
288,78531	2
289,28922	0
289,79312	-4
290,29706	1
290,80103	-7
291,30502	-4
291,80902	0
292,31308	2
292,81714	1
293,32123	-4
293,82532	-3
294,32947	7
294,83362	0
295,3378	0
295,84201	-2
296,34625	2
296,85049	-3
297,35477	3
297,85907	2
298,3634	-5
298,86777	-1
299,37213	-3
299,87656	2
300,38098	7
300,88541	0
301,38989	1
301,89441	4
302,39893	2
302,90347	-2
303,40805	0
303,91263	5
304,41727	5
304,92191	-1
305,42657	1
305,93127	3
306,43597	7
306,94073	0
307,4455	-1
307,95029	3
308,45511	-3
308,95993	1
309,46481	3
309,9697	8
310,47461	3
310,97955	5
311,4845	5
311,9895	-1
312,49451	-1
312,99954	-2
313,50461	0
314,00967	2
314,5148	7
315,01993	7
315,52509	-2
316,03027	2
316,53546	1
317,04071	0
317,54596	2
318,05124	1
318,55655	2
319,06186	3
319,56723	0
320,0726	8
320,578	7
321,08344	2
321,58887	3
322,09433	-4
322,59985	0
323,10538	5
323,6109	0
324,11649	2
324,62207	-1
325,12769	-6
325,63333	-2
326,13901	3
326,64471	-1
327,15042	-1
327,65616	6
328,16193	-4
328,66772	4
329,17352	4
329,67938	4
330,18524	1
330,69113	4
331,19702	4
331,70297	7
332,20892	-6
332,7149	1
333,22092	3
333,72696	3
334,233	5
334,73911	11
335,24521	-7
335,75134	2
336,25748	1
336,76367	3
337,26987	0
337,77609	4
338,28235	1
338,78864	9
339,29492	1
339,80127	2
340,30762	-7
340,814	0
341,32037	3
341,82681	6
342,33325	1
342,83972	-2
343,34622	-6
343,85275	2
344,35928	4
344,86584	2
345,37247	-5
345,87906	7
346,38571	0
346,89236	-8
347,39908	-2
347,90579	4
348,41254	-3
348,91928	11
349,42609	14
349,93289	1
350,43973	2
350,94659	4
351,45349	-6
351,96039	5
352,46732	3
352,97427	4
353,48126	5
353,98828	9
354,4953	-1
355,00235	7
355,50943	5
356,01654	0
356,52368	5
357,03082	5
357,53799	7
358,0452	9
358,55243	14
359,05969	1
359,56696	12
360,07428	1
360,5816	8
361,08893	7
361,59631	0
362,1037	1
362,61115	2
363,11859	0
363,62604	11
364,13354	8
364,64105	0
365,14859	2
365,65616	6
366,16376	-1
366,67139	-4
367,17902	0
367,68668	0
368,19437	-2
368,70209	-5
369,20984	0
369,71759	4
370,22537	6
370,73318	-5
371,24103	6
371,7489	2
372,25677	-4
372,76468	2
373,27261	-1
373,78058	3
374,28854	1
374,79657	3
375,3046	-2
375,81265	2
376,32071	8
376,82883	5
377,33694	0
377,84509	6
378,35327	6
378,86148	7
379,36972	4
379,87796	0
380,38623	5
380,89453	3
381,40286	6
381,91119	0
382,41959	3
382,92798	4
383,4364	2
383,94482	6
384,45331	0
384,96179	-7
385,47031	3
385,97885	3
386,48743	1
386,996	1
387,50464	-4
388,01328	-6
388,52194	7
389,03061	1
389,53934	2
390,04807	4
390,55682	-2
391,06561	7
391,57443	2
392,08325	6
392,59213	-4
393,10101	0
393,60989	0
394,11884	-2
394,62781	6
395,13678	3
395,64578	-8
396,15482	5
396,66385	16
397,17294	9
397,68204	0
398,19116	6
398,70032	6
399,2095	0
399,71869	4
400,22791	2
400,73715	6
401,24643	4
401,75574	-1
402,26505	0
402,77441	7
403,28378	4
403,79318	-4
404,30258	-6
404,81204	12
405,3215	-2
405,83099	0
406,34052	5
406,85004	-4
407,35962	8
407,8692	7
408,37881	8
408,88846	6
409,3981	5
409,90781	2
410,41751	6
410,92725	-2
411,43701	6
411,94678	7
412,4566	5
412,96643	13
413,47629	2
413,98618	5
414,49606	2
415,00601	4
415,51596	-3
416,02594	-1
416,53595	13
417,04596	9
417,55603	10
418,0661	6
418,5762	6
419,08633	-1
419,59647	-1
420,10663	4
420,61685	-1
421,12708	5
421,6373	-1
422,14758	4
422,65787	5
423,16818	4
423,67853	8
424,1889	3
424,69931	-1
425,20972	4
425,72015	4
426,23062	6
426,74112	7
427,25162	14
427,76218	3
428,27274	11
428,78333	5
429,29395	7
429,80457	0
430,31522	14
430,82593	8
431,33661	9
431,84735	15
432,35812	10
432,8689	5
433,3797	3
433,89053	23
434,4014	12
434,91226	-8
435,42319	19
435,93411	14
436,44507	-4
436,95602	14
437,46704	9
437,97806	4
438,48911	-4
439,00018	13
439,51129	13
440,0224	5
440,53357	10
441,04474	12
441,55594	25
442,06714	21
442,5784	-4
443,08966	-4
443,60095	-13
444,11227	24
444,62363	5
445,13498	13
445,64636	27
446,15778	28
446,66922	37
447,18069	9
447,69217	40
448,2037	29
448,71524	37
449,22681	23
449,73837	16
450,25	18
450,76163	30
451,27328	30
451,78497	21
452,29666	0
452,80841	29
453,32016	43
453,83194	34
454,34375	54
454,85559	30
455,36743	63
455,8793	48
456,3912	18
456,90314	47
457,4151	20
457,92706	48
458,43906	38
458,95108	27
459,46313	71
459,97522	83
460,4873	43
460,99942	92
461,51157	45
462,02374	84
462,53595	97
463,04816	101
463,56039	142
464,07266	122
464,58496	154
465,09729	173
465,60962	169
466,12198	207
466,63437	228
467,14679	256
467,65924	282
468,17169	322
468,68417	346
469,19669	365
469,70923	427
470,2218	448
470,73438	483
471,24698	500
471,75961	528
472,27228	598
472,78494	609
473,29767	634
473,81039	648
474,32315	657
474,83594	636
475,34872	634
475,86157	650
476,37442	635
476,8873	623
477,40018	574
477,91312	542
478,42606	512
478,93903	474
479,45203	447
479,96506	372
480,47812	345
480,99118	326
481,50427	281
482,0174	237
