Temp / Kelvin	Zeit / min	Zeitdifferenz / min	Kelvindifferenz / K	K pro min	Kommentar
291.2	0				
291.1	4	4	-0.1	-0.025	preparing...
291.2	27	23	0.1	0.004347826	started Helium flow
305.2	65	38	14	0.368421053	310K set
306.3	66.25	1.25	1.1	0.88	
296.2	82	15.75	-10.1	-0.641269841	290K set
295	83.25	1.25	-1.2	-0.96	
294.3	83.75	0.5	-0.7	-1.4	
290.2	87	3.25	-4.1	-1.261538462	265K set
289.1	88	1	-1.1	-1.1	
273	93.5	5.5	-16.1	-2.927272727	
268.5	95	1.5	-4.5	-3	
265.2	96.5	1.5	-3.3	-2.2	measuring...
260.5	101.5	5	-4.7	-0.94	240K set
258.3	102.75	1.25	-2.2	-1.76	
239.6	136	33.25	-18.7	-0.562406015	measuring...
240.4	146.5	10.5	0.8	0.076190476	250K set
245.6	158.5	12	5.2	0.433333333	
247.4	159.5	1	1.8	1.8	
248.7	160.5	1	1.3	1.3	
250	162.25	1.75	1.3	0.742857143	
250.8	165.25	3	0.8	0.266666667	measuring...
251.7	169	3.75	0.9	0.24	270K set
270	171.75	2.75	18.3	6.654545455	reduced Helium flow
273.2	172.5	0.75	3.2	4.266666667	
276.6	175	2.5	3.4	1.36	
275	177	2	-1.6	-0.8	
268.6	185	8	-6.4	-0.8	
268.5	185.5	0.5	-0.1	-0.2	
267.2	191	5.5	-1.3	-0.236363636	275K set
267.4	191.5	0.5	0.2	0.4	
274.5	201	9.5	7.1	0.747368421	
275.6	212	11	1.1	0.1	
275.2	221	9	-0.4	-0.044444444	
275.7	226	5	0.5	0.1	280K set
279.6	231.5	5.5	3.9	0.709090909	
280.6	236.5	5	1	0.2	
281.4	240	3.5	0.8	0.228571429	285K set
285	245	5	3.6	0.72	
285.9	253	8	0.9	0.1125	
286.3	256.5	3.5	0.4	0.114285714	290K set
287.5	257.75	1.25	1.2	0.96	
290.1	262	4.25	2.6	0.611764706	
290.7	265.75	3.75	0.6	0.16	
290.7	270	4.25	0	0	295K set
295.2	276	6	4.5	0.75	
296.6	279.5	3.5	1.4	0.4	300k set
300.9	285.5	6	4.3	0.716666667	
301.6	288.5	3	0.7	0.233333333	305k set
306.6	298	9.5	5	0.526315789	310k set
311	304.5	6.5	4.4	0.676923077	
311.4	307.75	3.25	0.4	0.123076923	315k set
315.9	313.5	5.75	4.5	0.782608696	
316.4	319	5.5	0.5	0.090909091	320k set
317.8	320	1	1.4	1.4	
320.9	327.5	7.5	3.1	0.413333333	
325.4	331.75	4.25	4.5	1.058823529	
327	332	0.25	1.6	6.4	340k set
330	332.5	0.5	3	6	
331.6	332.75	0.25	1.6	6.4	
335.4	333.5	0.75	3.8	5.066666667	
340.8	349	15.5	5.4	0.348387097	
347.9	352.5	3.5	7.1	2.028571429	350k set
365.5	366	13.5	17.6	1.303703704	380k set
377.8	367	1	12.3	12.3	
379.8	367.25	0.25	2	8	
386.6	370	2.75	6.8	2.472727273	
383.4	379	9	-3.2	-0.355555556	410k set
412.7	385	6	29.3	4.883333333	440k set
442.3	392	7	29.6	4.228571429	
435.5	395.5	3.5	-6.8	-1.942857143	
420	398	2.5	-15.5	-6.2	
398	404.333	6.333	-22	-3.473867046	
394.5	405	0.667	-3.5	-5.247376312	
391.4	405.5	0.5	-3.1	-6.2	
388.7	406	0.5	-2.7	-5.4	
385.6	406.5	0.5	-3.1	-6.2	
383.1	407	0.5	-2.5	-5	
370.5	410	3	-12.6	-4.2	
368.5	410.5	0.5	-2	-4	
366.3	411	0.5	-2.2	-4.4	
363.8	411.5	0.5	-2.5	-5	
361.5	412	0.5	-2.3	-4.6	
359.2	412.5	0.5	-2.3	-4.6	
356.8	413	0.5	-2.4	-4.8	
351.2	414	1	-5.6	-5.6	
341.6	418	4	-9.6	-2.4	
334.3	420	2	-7.3	-3.65	
326.8	422	2	-7.5	-3.75	
316.8	425.5	3.5	-10	-2.857142857	
302.7	435	9.5	-14.1	-1.484210526	
300.6	436	1	-2.1	-2.1	
296.5	438.5	2.5	-4.1	-1.64	
289	443.5	5	-7.5	-1.5	
272.3	457.5	14	-16.7	-1.192857143	
268	461.5	4	-4.3	-1.075	
256.9	469	7.5	-11.1	-1.48	
253.2	470.5	1.5	-3.7	-2.466666667	
241.5	474.75	4.25	-11.7	-2.752941176	
237	479.75	5	-4.5	-0.9	
