Temp / Kelvin	Zeit / min	Zeitdifferenz / min	Kelvindifferenz / K	K pro min	Kommentar
291	0				
286,3	63	63	-4,7	-0,074603175	start
266,1	70	7	-20,2	-2,885714286	
258,7	74	4	-7,4	-1,85	
256,7	79,5	5,5	-2	-0,363636364	
255,1	80	0,5	-1,6	-3,2	
253,5	80,5	0,5	-1,6	-3,2	
238,9	108	27,5	-14,6	-0,530909091	
244,7	113	5	5,8	1,16	250K set
250	114,66667	1,66667	5,3	3,17999364	
254,3	118	3,33333	4,3	1,29000129	
274,4	143	25	20,1	0,804	275K set
279	147,5	4,5	4,6	1,022222222	
296	152	4,5	17	3,777777778	
303,1	152,5	0,5	7,1	14,2	
306,4	152,75	0,25	3,3	13,2	
308,9	153	0,25	2,5	10	
313	153,5	0,5	4,1	8,2	
349,7	164	10,5	36,7	3,495238095	
382,9	172,5	8,5	33,2	3,905882353	
383,2	175	2,5	0,3	0,12	
382,1	180	5	-1,1	-0,22	
404	185	5	21,9	4,38	
406,7	186	1	2,7	2,7	
408,4	187	1	1,7	1,7	
421,4	194	7	13	1,857142857	
424	194,25	0,25	2,6	10,4	
428,2	194,75	0,5	4,2	8,4	
429,7	195	0,25	1,5	6	
439,9	207,5	12,5	10,2	0,816	
435,5	210,75	3,25	-4,4	-1,353846154	
428,5	211,5	0,75	-7	-9,333333333	
423,8	212	0,5	-4,7	-9,4	
419,8	212,5	0,5	-4	-8	
416,4	213	0,5	-3,4	-6,8	
413,7	213,5	0,5	-2,7	-5,4	
411,5	214	0,5	-2,2	-4,4	
400,7	218	4	-10,8	-2,7	
396,7	218,5	0,5	-4	-8	
392,7	219	0,5	-4	-8	
386,7	219,75	0,75	-6	-8	
384,8	220	0,25	-1,9	-7,6	
379,9	220,75	0,75	-4,9	-6,533333333	
378,5	221	0,25	-1,4	-5,6	
377,1	221,25	0,25	-1,4	-5,6	
375,9	221,5	0,25	-1,2	-4,8	
373,4	223,5	2	-2,5	-1,25	
374,9	223,75	0,25	1,5	6	
377,6	228	4,25	2,7	0,635294118	
374,5	228,5	0,5	-3,1	-6,2	
371,2	229	0,5	-3,3	-6,6	
357,8	231	2	-13,4	-6,7	
344,8	234	3	-13	-4,333333333	
333	238,5	4,5	-11,8	-2,622222222	
328	239,5	1	-5	-5	
325,8	240	0,5	-2,2	-4,4	
320,9	241	1	-4,9	-4,9	
322,5	251,75	10,75	1,6	0,148837209	
312,2	256,75	5	-10,3	-2,06	
306,2	265	8,25	-6	-0,727272727	
305,2	266	1	-1	-1	
304,4	266,5	0,5	-0,8	-1,6	
303,6	267	0,5	-0,8	-1,6	
302,6	267,5	0,5	-1	-2	
301,9	268	0,5	-0,7	-1,4	
301	268,5	0,5	-0,9	-1,8	
300,2	269	0,5	-0,8	-1,6	
296,8	271	2	-3,4	-1,7	
282,7	277,75	6,75	-14,1	-2,088888889	
279	279	1,25	-3,7	-2,96	
280,8	298	19	1,8	0,094736842	
279	310	12	-1,8	-0,15	
312	312,5	2,5	33	13,2	
427,4	340	27,5	115,4	4,196363636	
430	342,5	2,5	2,6	1,04	
432,8	344	1,5	2,8	1,866666667	
435	346	2	2,2	1,1	
285,9	376	30	-149,1	-4,97	
245	399	23	-40,9	-1,77826087	
243,4	400	1	-1,6	-1,6	
241,8	401	1	-1,6	-1,6	
236	407	6	-5,8	-0,966666667	
